x_pos,y_pos,z_pos,x_angle,y_angle,x_target,y_target,z_target
59.35,7.98,27.23,29.94,1.29,59.37004,7.90845,69.77045
57.82,7.99,27.38,76.29,10.0,61.391,7.761549,156.8597
45.37,7.98,10.22,5.6,-0.16,58.00315,7.944609,52.27161
0.0,7.98,44.04,185.71,-5.0,4.553149,7.928078,18.75799
62.93,7.97,9.04,10.49,-5.0,66.3895,7.908679,28.87789
142.85,8.0,94.89,32.92,-5.0,152.969,7.925196,108.9501
215.81,7.98,173.35,282.69,-5.0,199.3263,7.906391,180.3106
218.79,7.99,131.06,325.48,10.0,196.8278,7.747129,275.6493
130.01,7.98,45.93,92.02,10.0,259.2244,7.76365,155.6431
264.81,8.0,129.36,274.5,10.0,131.6195,7.742305,24.02106
296.61,7.97,202.66,296.57,2.72,235.0238,7.7634,235.551
229.78,7.99,207.72,111.85,-5.0,249.3773,7.929354,199.6647
244.27,7.99,82.33,315.73,-5.0,229.256,7.916399,105.8322
147.69,8.0,54.12,221.11,-5.0,134.9231,7.914499,37.57878
59.53,7.98,134.45,98.14,-5.0,80.21622,7.929227,131.1938
0.0,7.98,170.96,76.78,10.0,124.6242,7.722077,180.2026
0.0,7.99,81.23,14.07,10.0,128.0352,7.775048,115.9051
0.0,7.98,14.01,177.95,10.0,117.0202,7.744152,55.43113
56.41,7.98,60.49,39.01,10.0,37.968,7.773777,185.5785
144.74,7.99,75.33,128.9,0.57,181.7605,7.903719,46.65565
246.26,8.0,92.39,213.42,-5.0,247.0686,7.912707,74.93158
296.24,7.98,151.85,339.59,-5.0,283.398,7.904562,173.3733
188.49,7.99,157.81,147.07,-5.0,196.8278,7.918902,140.4077
65.41,7.99,135.69,248.6,-5.0,50.70744,7.909229,127.2519
253.38,7.97,295.97,250.93,10.0,272.3995,7.754519,181.5085
300.0,7.97,235.79,304.91,0.76,266.0029,7.939535,275.1217
237.23,7.99,244.21,87.3,-5.0,256.7428,7.908635,243.7063
300.0,7.99,285.26,210.61,-5.0,287.8947,7.924842,268.3535
279.65,7.97,224.86,114.59,-5.0,294.6725,7.903757,212.8082
188.15,7.99,168.68,228.33,6.13,172.5776,10.75191,159.5117
58.98,7.98,89.37,24.42,2.25,78.20399,7.905704,187.4776
0.0,7.99,30.77,72.28,-0.43,33.29296,7.916476,44.44104
72.65,7.97,54.99,356.82,10.0,115.2602,7.752832,150.8741
0.0,7.99,18.87,344.88,10.0,6.998822,7.747154,176.6479
71.45,7.97,0.0,46.82,10.0,70.97326,7.754069,128.8013
0.96,7.99,29.25,82.15,10.0,150.0471,7.741162,28.65018
145.28,7.99,63.37,24.31,-5.0,158.5418,7.909799,81.69745
269.19,8.0,59.48,130.53,-5.0,280.4973,7.926357,44.97047
300.0,8.0,98.98,313.13,-5.0,284.588,7.918415,111.0571
298.83,8.0,73.77,2.82,-5.0,299.448,7.919609,90.61615
204.46,8.0,70.68,329.48,-5.0,191.7284,7.926233,88.97323
95.79,7.97,104.26,212.81,-5.0,81.34589,7.906936,87.31818
0.0,7.99,133.24,53.85,-5.0,15.67276,7.899114,146.017
49.19,7.97,42.89,214.09,-5.0,35.67294,7.924405,27.43523
142.95,7.99,9.63,246.06,-5.0,124.1604,7.917102,1.422711
122.84,7.98,121.52,111.77,-1.64,152.0381,7.839118,104.291
151.38,7.98,250.33,263.37,-5.0,128.9082,7.919869,250.8447
240.47,7.98,167.11,139.04,2.45,264.3429,7.949572,128.2183
209.12,8.0,99.09,80.21,2.19,286.2295,7.809216,89.00333
137.65,7.99,180.86,328.48,-5.0,129.3512,7.912007,197.182
60.2,7.98,272.07,225.84,2.68,27.01117,7.89648,224.5265
131.53,7.99,253.92,277.72,1.9,60.42046,7.895737,300.0392
161.43,8.0,156.67,194.16,-5.0,156.5492,7.923882,137.8227
193.18,8.0,53.4,305.31,-5.0,180.0217,7.921875,60.41089
