x_pos,y_pos,z_pos,x_angle,y_angle,x_target,y_target,z_target
59.35,8.0,27.23,8.67,1.25,59.37004,7.90845,69.77045
70.96,7.99,8.6,348.68,7.33,122.6471,7.749049,136.6852
51.5,7.98,0.0,22.17,-3.42,62.96232,7.908041,25.97775
107.89,7.97,91.97,314.86,5.67,61.09588,7.814086,153.9144
241.22,7.97,58.29,22.32,-2.01,258.2247,7.955861,94.98882
127.23,7.99,61.19,307.63,1.67,102.0459,7.884147,94.37959
0.0,7.98,44.0,121.58,3.33,80.59144,7.851119,89.89074
0.52,8.0,11.15,98.83,-5.0,21.12178,7.927663,7.589904
0.0,8.0,2.91,44.43,1.67,35.03945,7.887337,36.6941
65.19,7.97,20.79,348.91,10.0,30.99195,7.762037,131.4656
12.09,8.0,98.94,36.91,3.33,40.00349,7.782388,182.762
0.0,7.98,92.19,3.84,-5.0,1.303605,7.912065,112.6462
68.68,7.97,48.04,0.65,-5.0,72.75428,7.908065,69.5621
179.24,7.99,76.28,118.05,-5.0,202.0003,7.901976,66.16975
299.92,7.97,107.1,246.19,-5.0,279.094,7.925743,97.26132
281.08,7.99,33.81,173.22,-5.0,283.2047,7.921637,12.97664
161.64,7.99,49.73,336.51,3.01,139.3246,7.837434,96.74306
18.86,7.97,76.3,125.92,10.0,183.9897,7.755145,72.9569
126.98,7.97,96.83,341.66,10.0,147.077,7.774384,239.0094
219.8,7.99,30.46,224.26,10.0,59.27043,7.765791,39.94868
191.93,7.97,80.96,102.55,10.0,259.4068,7.749887,146.2101
222.79,8.0,70.3,267.66,-3.67,197.1282,7.844976,69.23355
68.62,7.99,49.08,278.28,10.0,20.56068,7.764824,151.3435
71.14,8.0,157.43,209.98,2.0,13.79662,7.857358,97.92168
147.39,7.97,227.74,103.28,-2.33,176.7003,7.888347,221.1007
300.0,7.99,232.56,333.23,10.0,198.757,7.752077,291.0887
300.0,7.97,232.66,165.69,10.0,175.7137,7.748746,176.5607
299.91,7.99,201.76,185.95,10.0,230.0999,7.744273,120.8009
246.85,7.99,248.34,41.97,-2.0,266.8922,7.882477,271.4281
137.51,7.99,283.26,160.06,-5.0,136.9124,9.45165,277.0533
19.44,8.0,254.63,56.43,-5.0,37.21987,7.914495,265.7288
72.98,7.98,157.78,298.0,-5.0,54.75876,7.912063,167.2598
128.21,8.0,57.9,330.08,-5.0,120.1002,7.904588,73.84713
194.97,7.98,22.49,279.88,10.0,194.6235,7.756826,130.3442
164.36,8.0,125.43,234.02,3.33,134.8248,7.84576,2.041555
136.42,7.99,203.54,319.37,-5.0,122.6046,7.904542,223.5069
107.27,7.99,300.0,137.54,-5.0,122.2676,7.914618,287.7283
130.32,7.97,300.0,154.59,-5.0,139.7975,7.911673,281.1925
93.7,7.99,241.98,101.25,-5.0,115.8819,7.92165,236.5618
191.07,7.98,189.34,217.57,-5.0,179.8417,7.827301,169.928
299.86,7.97,100.95,84.81,10.0,286.111,7.771894,259.871
85.38,7.99,19.6,354.11,10.0,193.5461,7.743844,137.753
59.61,8.0,81.75,356.24,-5.0,57.50667,7.92745,102.8226
171.9,7.98,62.37,238.86,-5.0,155.1704,7.924097,51.22108
188.88,7.97,115.33,273.84,10.0,90.48662,7.756511,15.76318
125.53,7.98,300.0,226.56,10.0,228.5475,7.74566,233.9523
267.2,7.97,197.42,32.68,-5.0,278.5104,7.919285,215.1689
