x_pos,y_pos,z_pos,x_angle,y_angle,x_target,y_target,z_target
60.0,7.79,40.0,8.68,-1.43,60.02005,7.061274,100.4696
58.99,7.9,34.65,52.69,2.93,132.7343,5.746841,64.61451
266.08,5.97,300.0,252.69,10.03,176.1679,7.870917,277.126
97.41,7.27,35.99,97.64,3.94,185.5671,6.825893,11.72884
0.0,5.99,0.0,324.03,5.42,132.4018,5.692984,118.743
32.46,7.95,6.64,155.52,10.41,146.9697,6.004689,101.8076
123.84,6.0,83.36,36.86,-2.83,146.4785,6.053353,102.4573
245.18,5.99,47.84,160.9,-0.25,257.6414,5.932707,11.72075
187.58,6.95,0.55,330.7,-2.14,173.6948,6.771513,31.99711
187.49,5.99,86.61,221.91,-0.38,155.1913,6.000806,33.08027
260.18,6.56,179.56,343.25,0.21,235.379,5.814007,217.1695
300.0,5.99,217.74,225.32,5.83,282.8247,6.983564,154.5216
93.99,6.01,110.94,342.44,10.03,200.6659,5.710889,245.8028
34.21,7.97,14.41,4.82,5.35,21.49917,7.839306,79.01119
123.03,5.99,58.86,12.76,9.1,160.9994,7.404605,141.0455
0.0,6.0,138.22,147.97,9.75,214.4878,6.815405,154.3068
141.11,7.86,158.06,127.5,3.61,202.3791,5.842349,106.7651
242.29,6.0,113.18,241.49,1.58,195.3073,5.823354,79.46159
300.0,5.98,94.3,273.6,-0.97,264.7357,5.916915,99.14177
247.08,6.12,188.85,313.99,-4.21,226.6873,5.936085,209.1936
166.78,7.97,272.81,73.83,-5.27,182.9649,7.736108,283.7734
74.97,7.64,260.82,92.08,-8.57,97.74191,6.00988,257.2102
9.45,6.0,200.24,162.52,-1.35,20.83415,5.922782,161.4725
0.0,5.98,248.6,102.59,-4.05,22.78965,5.950025,245.5241
11.7,5.99,215.95,30.57,-4.35,31.49412,5.859784,236.3038
117.15,6.79,192.57,348.36,-4.27,118.3249,5.783309,217.5385
238.42,7.06,152.1,119.94,0.87,284.8582,6.085197,135.7251
236.09,5.99,196.12,161.36,-2.4,241.8306,6.702071,172.8209
193.66,5.98,87.58,217.77,-4.12,180.6412,6.613897,67.26467
113.47,5.98,78.9,253.94,2.87,34.84419,7.845443,14.19408
221.48,7.19,160.3,33.38,5.56,186.3755,5.813695,248.2489
158.36,6.79,176.87,288.07,10.11,59.96192,7.553294,128.263
0.76,6.0,179.09,55.31,7.17,93.49711,6.08257,262.1845
93.78,6.68,0.0,77.64,-1.93,131.7464,5.773042,68.32908
25.25,6.96,20.45,293.78,-6.15,-0.2377412,5.89906,34.99223
0.0,5.97,38.15,14.53,1.65,15.4399,7.644968,70.03837
40.05,6.66,110.97,313.88,-0.69,2.841665,5.845566,140.7191
192.3,5.98,100.04,119.37,8.88,296.1443,6.674203,152.4858
279.65,7.09,159.02,174.83,4.5,293.9219,5.899413,72.49997
173.6,6.49,179.45,275.52,3.25,115.2251,7.537713,172.4178
67.61,7.55,198.71,286.43,-2.03,26.72117,5.923169,209.6664
62.53,7.57,300.0,125.19,3.96,104.484,7.642419,265.226
101.5,7.51,189.94,165.22,6.61,146.7705,6.596917,123.9239
204.46,5.98,129.96,281.94,2.89,118.773,5.890121,129.6326
253.17,5.99,11.27,66.78,-3.15,272.7132,5.909928,19.94864
154.09,6.37,75.73,314.97,-5.22,133.4915,5.90485,94.16671
49.84,6.58,145.13,185.93,-1.08,43.59103,6.839557,114.2182
50.04,6.3,210.25,242.83,-7.94,39.31399,5.853668,203.1557
36.31,6.3,112.07,219.44,-6.28,22.20785,6.754718,89.20066
28.52,7.82,3.46,18.16,-1.78,42.91027,7.724115,29.19168
53.84,6.62,80.46,125.29,-9.42,72.65775,6.025915,73.7843
178.17,6.3,124.78,255.22,-0.71,122.7961,5.920701,101.374
272.63,7.07,157.93,13.67,-4.19,296.8158,6.192951,182.8614
260.07,5.99,93.14,324.61,-4.95,238.9955,5.939936,111.6633
135.88,6.01,99.05,93.15,-4.95,148.7375,6.089975,98.10777
14.12,6.0,111.14,282.34,-5.06,-1.14814,5.901622,111.9016
10.62,5.98,22.7,147.71,-5.05,29.52151,7.781474,10.18193
107.24,6.39,35.01,261.26,-0.86,89.48396,7.803313,37.22051
50.82,7.05,132.63,343.46,-8.82,42.24224,5.868822,154.4002
0.0,5.98,218.92,55.12,-4.93,13.93133,5.949722,234.8221
22.47,5.98,148.89,2.2,-3.45,30.34009,5.848785,173.2338
151.55,7.38,135.39,128.04,1.52,205.4253,5.832868,106.2316
274.01,6.02,123.35,254.76,3.0,212.6617,5.820523,95.44217
298.95,5.99,10.72,351.26,0.86,276.235,5.876994,58.67945
235.99,6.0,21.85,39.35,4.87,230.6842,5.92505,85.95109
238.38,6.0,14.28,276.32,-0.76,203.7778,6.180823,18.14919
264.64,5.99,102.97,217.78,-3.56,252.4787,5.873727,89.32738
292.86,5.99,211.69,33.46,-5.05,296.3739,5.887482,236.183
193.65,6.28,183.09,234.19,-2.29,169.2026,7.117488,165.8731
96.95,6.01,115.33,355.7,-0.73,89.18842,6.520855,144.5648
