x_pos,y_pos,z_pos,x_angle,y_angle,x_target,y_target,z_target
60.0,10.0,40.0,0.0,0.0,60.02005,11.50724,62.19345
60.0,7.97,40.0,351.31,3.44,60.1801,10.59555,60.52362
49.37,10.69,52.69,199.36,-22.06,42.06331,7.801328,42.39212
20.95,18.99,134.42,30.39,-46.44,25.56506,7.210017,147.9932
186.22,10.1,72.55,5.39,4.87,188.141,13.9594,98.43426
248.17,7.99,5.1,62.72,-1.81,275.2423,7.937023,19.93701
250.97,39.29,103.63,270.51,-34.37,209.3531,7.300495,88.72213
91.4,10.92,255.15,29.46,-18.33,172.6889,5.685268,270.6117
108.44,9.28,154.7,62.53,8.6,156.7947,7.755474,205.4994
119.31,7.98,50.26,169.73,-2.65,124.2196,7.930668,22.93282
264.89,28.43,72.28,261.69,17.75,257.5716,33.37334,75.38673
198.61,19.07,192.14,63.87,-35.84,205.4632,14.36003,197.34
84.19,26.62,214.39,65.83,-19.88,110.5262,8.022007,227.0703
0.0,7.98,205.43,110.67,0.12,20.88585,7.876004,193.3716
49.84,7.98,154.41,182.44,-0.36,56.41279,9.890625,152.1856
30.65,7.99,266.0,354.57,-3.67,29.71788,8.708674,282.3925
68.35,7.97,296.53,247.88,-4.98,49.87276,7.87749,288.8939
29.3,42.38,122.47,178.64,51.22,29.03325,45.77686,117.9372
19.79,32.55,11.14,70.46,-10.98,95.62585,7.504536,86.13639
156.84,7.99,0.0,313.93,-0.41,117.7397,7.916248,25.48699
132.32,7.97,0.5,0.87,-3.12,131.4296,7.825152,27.19247
15.42,28.41,114.27,152.57,42.18,17.56047,32.59735,108.8007
15.8,8.0,48.05,199.97,-4.08,7.067094,7.833633,26.87405
133.12,8.0,14.54,53.76,0.63,163.5537,7.923992,36.58918
91.21,7.98,81.2,114.07,1.96,147.2025,8.315271,59.1494
49.23,7.98,171.07,197.75,3.57,40.39041,10.50951,134.885
136.54,7.98,32.81,332.11,-4.96,126.1354,7.896638,51.15482
