x_pos,y_pos,z_pos,x_angle,y_angle,x_target,y_target,z_target
60.0,10.0,40.0,0.0,0.0,60.02005,11.5661,62.38045
60.0,7.98,40.0,179.39,3.05,110.9613,7.798241,0.6731828
45.91,13.25,55.44,326.73,44.48,37.74775,26.22459,65.26022
22.5,39.08,119.9,240.96,-33.26,12.22306,7.701437,32.8523
129.99,7.97,8.77,85.8,4.25,193.2225,7.890187,14.9729
105.46,7.98,74.51,55.92,1.77,125.1262,10.39157,86.54484
5.88,7.99,179.78,59.06,-4.31,26.8032,7.846697,192.7064
103.03,10.49,221.52,339.13,-2.07,104.3605,10.04791,229.8392
209.54,6.08,265.22,217.49,-9.42,211.8353,7.660847,261.2535
255.56,8.02,200.94,239.09,-0.14,229.5898,8.944639,185.3344
224.39,9.15,70.55,9.04,13.73,213.0264,5.705033,177.3744
250.58,7.99,0.02,37.27,6.54,298.7409,7.839406,52.49076
291.3,7.99,37.12,196.82,0.3,274.9311,7.856404,-0.6327404
240.61,23.96,75.97,171.01,-28.16,244.6352,15.32647,55.79445
146.58,26.45,117.16,328.97,-21.19,140.7287,21.94747,126.396
188.27,32.0,179.03,48.35,-36.23,205.0745,15.15633,194.9464
297.38,7.99,224.34,284.43,-4.95,274.3456,7.938037,229.5999
267.84,7.98,300.0,99.25,-5.0,288.4763,7.917545,297.2764
225.76,7.99,300.0,107.97,3.8,288.2266,8.86365,273.226
146.64,6.09,217.02,170.85,8.86,271.9264,11.08065,179.3763
104.53,8.73,122.88,163.89,5.28,77.56284,7.89724,38.95394
68.35,7.99,25.7,56.93,3.85,150.9589,9.191339,62.71965
0.0,7.97,30.22,92.14,3.58,66.10763,7.814219,24.88583
273.96,8.0,300.0,124.62,4.95,293.7028,7.762133,222.5667
247.5,18.85,59.54,246.43,-23.03,222.1426,7.620985,46.69616
0.0,8.52,105.21,141.48,6.48,8.625127,12.58583,93.17407
282.56,7.99,241.35,169.39,-5.13,293.3301,7.836976,223.9442
152.7,7.14,242.08,336.59,1.26,143.1834,7.811783,264.4466
145.68,36.55,137.32,73.06,37.73,148.5266,38.32037,139.2136
78.61,7.97,53.13,20.01,-3.11,92.7243,7.893903,80.04192
90.87,8.02,37.5,300.36,-1.1,62.37814,8.433332,54.84725
132.51,19.16,140.64,255.88,-47.55,125.1228,14.24123,141.9869
281.68,7.97,300.0,120.49,-4.93,299.0735,7.926291,289.3846
206.39,7.87,274.6,235.01,-6.85,185.7934,6.162947,258.576
288.87,7.99,205.63,20.75,-3.34,295.422,7.948967,231.516
208.99,7.99,54.66,272.26,-5.04,188.9427,7.883327,55.53319
110.1,7.98,3.97,354.41,-2.31,105.7361,8.060452,33.33503
120.12,9.88,107.34,330.64,-3.42,106.6858,9.043856,127.4327
216.4,11.52,203.63,222.14,12.01,47.664,38.35944,118.5096
280.27,7.99,237.52,297.06,-1.21,248.2505,7.87209,253.1444
300.0,8.9,257.42,328.71,-4.1,291.8246,9.252666,261.9251
299.83,7.97,291.71,257.36,-4.98,279.3969,7.92982,287.6175
300.0,7.99,298.31,257.37,-4.98,279.895,7.924571,293.4741
267.93,7.97,300.0,271.42,-4.98,241.2473,7.117172,300.0922
300.0,8.79,271.11,324.64,-8.16,288.5152,7.772445,287.3122
