x_pos,y_pos,z_pos,x_angle,y_angle,x_target,y_target,z_target
200.0,5.99,200.0,43.61,-2.38,220.0057,5.951164,220.8098
200.0,6.0,200.0,323.62,4.59,160.0776,6.997293,254.7211
200.0,5.98,200.0,134.93,10.0,290.5565,5.782235,110.0138
199.99,5.99,200.0,172.02,6.52,213.387,5.816629,106.8843
199.99,5.97,200.0,45.9,10.0,291.3038,5.78875,288.9354
199.99,5.99,200.0,193.92,8.11,173.9393,5.81509,93.72055
199.99,6.01,200.0,128.14,9.45,296.3434,5.788717,124.4306
199.99,5.98,200.0,244.04,9.18,91.8623,5.69217,147.2284
199.99,5.97,200.0,148.38,9.43,264.3438,5.747574,96.127
199.99,5.98,200.0,340.68,3.74,179.1938,6.70788,258.3451
199.99,6.0,200.0,239.39,7.01,115.489,5.862165,149.6182
199.99,5.99,200.0,175.85,5.71,206.3356,5.878485,114.1745
199.99,5.97,200.0,91.28,2.76,260.6024,5.830461,198.635
199.99,5.98,200.0,97.92,-0.22,239.0374,5.876878,194.4095
199.99,6.0,200.0,309.05,0.36,166.831,5.882863,227.3262
199.99,6.0,200.0,98.79,-4.8,220.4367,5.935421,196.4859
199.99,6.0,200.0,27.15,-2.58,213.3451,5.836737,225.2503
199.99,6.0,200.0,313.88,1.23,165.2172,5.90169,233.8958
199.99,5.99,200.0,356.13,4.75,195.1903,6.041951,276.2771
199.99,5.98,200.0,115.48,3.27,258.8148,5.790342,171.5764
199.99,6.0,200.0,35.66,-1.63,218.6039,5.912622,225.5677
199.99,5.99,200.0,9.01,-1.65,205.244,5.926999,231.2595
199.99,5.98,200.0,305.35,2.94,150.6012,6.023634,235.3968
199.99,5.98,200.0,293.84,-1.08,168.08,5.848228,214.2589
199.99,6.0,200.0,310.94,4.56,147.4124,6.680801,245.4111
199.99,5.99,200.0,198.05,6.21,171.6913,5.906112,114.0123
199.99,5.98,199.99,113.29,3.79,263.911,5.786765,172.1052
199.99,5.99,199.99,36.52,7.33,260.3587,5.851064,281.3668
