x_pos,y_pos,z_pos,x_angle,y_angle,x_target,y_target,z_target
200.0,14.73,200.0,281.82,2.27,111.4675,8.753355,218.4809
200.0,14.74,199.99,69.89,-18.2,216.2334,10.79773,206.4836
199.99,14.76,199.99,99.21,3.06,300.295,7.728134,190.1674
199.99,14.78,199.99,17.9,-17.01,209.28,5.664963,230.3828
199.99,14.75,199.99,102.01,-3.47,257.1493,8.583591,190.4641
199.98,14.75,199.99,71.93,-18.93,214.1597,11.32715,205.4902
199.98,14.79,199.99,132.04,5.9,260.7375,15.67457,143.2402
199.98,14.79,199.99,111.79,-9.78,236.8507,8.234278,184.7946
199.98,14.71,199.99,134.93,5.87,260.195,15.05766,136.3313
199.97,14.76,199.99,159.27,13.3,237.712,24.34982,92.6816
199.97,14.84,199.99,55.14,-27.65,208.5067,11.43715,206.4231
199.97,14.77,199.98,309.73,-17.79,186.6189,11.02333,211.2552
199.97,14.77,199.98,351.45,-26.64,197.1771,6.779181,219.5383
199.97,14.78,199.97,266.9,7.12,187.0485,18.18884,199.8002
199.97,14.82,199.97,248.08,18.58,187.7213,21.17448,195.4575
199.97,14.72,199.97,113.29,-0.45,256.0446,11.41844,177.2915
199.97,14.75,199.97,289.21,-3.91,184.3646,15.17279,206.089
199.97,14.77,199.95,204.6,24.84,194.9253,22.61635,188.8945
199.97,14.78,199.95,318.83,-14.39,180.2329,7.814887,223.6059
199.97,14.78,199.95,94.77,-1.12,272.6034,7.856502,200.0236
199.95,14.83,199.96,199.09,24.64,195.4998,23.18398,187.1134
199.95,14.84,199.95,321.86,-18.25,185.0695,8.008234,219.3604
199.96,14.84,199.95,281.31,3.46,107.5421,9.844182,218.1479
199.95,14.85,199.95,74.01,-14.11,223.6325,9.884876,207.7868
199.95,14.8,199.95,355.31,-23.51,198.488,5.433078,224.658
199.95,14.77,199.94,342.74,-26.46,194.9032,7.495833,217.3914
199.95,14.78,199.94,221.09,22.75,193.0101,21.10574,192.7133
199.95,14.81,199.94,37.89,-23.41,210.2906,9.457105,213.0609
199.95,14.82,199.94,7.19,-22.59,203.8521,6.111064,223.8895
199.95,14.79,199.93,210.35,31.49,191.3329,26.44018,186.432
199.95,14.85,199.94,101.28,-0.86,271.9876,8.480989,191.5587
199.96,14.75,199.93,230.21,25.89,190.3286,22.54007,192.8325
199.96,14.78,199.93,230.49,17.21,193.0875,19.40256,195.0828
199.96,14.86,199.93,132.86,6.43,256.306,17.11574,144.3338
199.96,14.83,199.93,289.35,-2.74,178.673,14.9415,208.4254
199.96,14.82,199.92,291.17,5.98,97.33028,10.29879,244.177
199.96,14.85,199.92,326.63,-21.92,189.021,7.92775,217.7499
199.96,14.86,199.92,244.46,23.87,184.3975,23.89166,193.6871
199.96,14.79,199.91,342.27,-26.14,194.5722,7.405337,218.027
199.96,14.89,199.91,278.46,5.55,102.6553,12.57603,218.1698
199.96,14.84,199.91,229.06,29.74,187.5346,25.61746,190.2007
199.96,14.86,199.9,292.13,2.44,110.6583,7.779182,238.2903
199.96,14.81,199.9,250.39,21.83,179.0542,25.04511,193.4548
199.96,14.85,199.9,30.47,-22.53,209.4944,8.196273,217.4397
199.96,14.87,199.89,6.02,-23.94,202.3807,6.192539,222.7374
199.96,14.87,199.89,312.3,1.5,137.4302,7.738311,265.5459
199.96,14.82,199.89,302.79,-2.53,142.5535,7.070803,242.4479
199.96,14.83,199.89,217.53,19.9,194.4883,20.34997,192.5039
199.96,14.8,199.89,206.81,21.52,195.64,21.04586,190.6508
199.96,14.82,199.89,49.66,-27.98,208.3621,10.88801,207.7557
199.96,14.83,199.89,359.33,-29.55,199.541,7.849012,216.1387
199.95,14.91,199.88,51.3,-18.63,214.6011,9.69083,213.251
199.95,14.83,199.88,217.31,30.14,190.6554,25.08725,188.8184
199.96,14.86,199.88,350.58,-13.57,196.0558,5.11969,239.1467
199.96,14.89,199.88,75.75,-8.07,242.8832,7.667957,214.4634
199.95,14.86,199.87,316.26,-4.61,163.5557,7.766342,243.3086
199.95,14.8,199.87,241.48,24.0,187.0002,22.87419,194.0412
199.96,14.87,199.87,4.8,-32.61,201.4153,9.496364,211.855
199.96,14.89,199.87,12.1,-28.0,203.841,8.115726,215.9857
199.96,14.8,199.86,261.85,10.42,187.3693,18.9539,198.6703
199.96,14.84,199.86,31.56,-31.27,205.7805,10.28838,209.7122
199.96,14.82,199.86,16.47,-29.24,203.9607,8.911442,213.8238
199.96,14.88,199.85,304.91,-2.57,143.2564,7.003758,241.8713
199.95,14.85,199.85,84.08,-15.03,219.3095,11.05607,202.8474
199.95,14.92,199.85,85.82,-11.1,235.1737,8.185823,204.5177
199.95,14.84,199.84,60.59,-25.26,209.5197,11.56442,205.8916
199.94,14.86,199.85,210.64,35.79,188.2713,32.25066,180.938
199.94,14.87,199.85,282.81,16.58,10.40273,11.69296,260.342
199.94,14.85,199.84,57.19,-15.46,220.2642,9.131362,214.4041
199.94,14.82,199.84,325.03,-11.19,179.8468,7.157069,232.3863
199.95,14.91,199.84,334.62,-15.43,186.3971,5.859406,231.7087
199.95,14.82,199.83,316.49,-5.23,165.1583,8.043355,240.9383
199.96,14.92,199.82,266.76,11.53,91.61531,21.59981,198.1945
199.96,14.83,199.81,70.68,-11.98,229.5673,8.620957,212.4994
199.96,14.87,199.81,358.89,-15.26,201.2548,4.81727,236.871
199.96,14.84,199.81,22.47,-24.85,207.0011,8.520068,215.9889
199.96,14.86,199.8,18.09,-28.9,204.8451,9.061791,213.3246
199.96,14.85,199.8,66.54,-14.95,221.8745,9.750548,210.2177
199.96,14.89,199.8,149.29,21.03,262.2979,39.34638,102.9691
199.96,14.85,199.8,294.42,3.06,110.2026,7.78549,245.3045
199.96,14.84,199.8,314.24,-11.14,174.4173,8.033154,225.7368
199.96,14.87,199.79,275.3,1.55,189.5201,16.86153,201.5981
199.96,14.84,199.79,34.84,-32.1,205.9736,10.9567,207.9901
199.96,14.92,199.79,47.98,-25.51,209.3721,10.8327,208.6529
199.96,14.95,199.78,297.26,3.97,105.9775,7.807034,253.2157
199.95,14.85,199.77,57.73,-12.74,224.9368,8.506855,217.9291
199.94,14.83,199.77,226.92,29.98,188.4063,25.64173,189.5504
199.94,14.87,199.77,201.46,25.92,195.1853,23.66755,186.699
199.94,14.85,199.77,248.17,14.4,190.8813,19.50018,196.1697
199.94,14.84,199.77,271.7,6.2,185.3697,18.24445,200.3565
199.94,14.84,199.77,269.94,8.94,183.2617,19.21701,200.0695
199.94,14.85,199.77,220.8,30.26,190.5704,25.20425,188.9991
199.94,14.91,199.77,323.05,-11.59,178.3292,7.528236,230.5186
199.94,14.9,199.77,281.85,5.48,102.0328,12.36521,220.4424
199.94,14.92,199.77,137.43,9.22,258.4948,20.00097,132.887
199.93,14.9,199.76,316.72,-8.79,172.0757,7.859694,232.6646
199.93,14.95,199.76,120.69,0.34,251.4899,12.44051,168.5587
199.93,14.93,199.77,136.28,7.89,256.2993,18.61427,137.8759
199.92,14.88,199.77,342.94,-25.66,193.6289,6.801589,219.5968
199.93,14.95,199.76,245.22,19.64,183.915,22.87969,193.2499
199.93,14.88,199.76,204.89,27.14,194.7247,23.53765,187.8743
199.93,14.89,199.76,238.67,26.65,186.6934,24.33886,192.2829
199.93,14.88,199.76,78.63,-11.11,233.0038,8.35034,209.3159
199.92,14.91,199.76,236.13,25.98,190.1533,22.35404,193.9688
199.92,14.9,199.76,203.0,30.36,192.7203,27.7886,182.0889
199.92,14.87,199.76,0.37,-22.92,200.198,5.109829,226.1462
199.92,14.87,199.75,67.51,-22.37,211.4253,11.55033,205.3698
199.92,14.9,199.75,69.34,-16.27,218.6113,10.38838,207.9675
199.92,14.95,199.75,245.51,23.18,184.8979,23.59727,193.7418
199.92,14.86,199.75,2.93,-18.39,202.9182,4.761687,231.7722
199.92,14.9,199.75,283.01,1.94,112.0138,8.615181,217.7739
199.92,14.87,199.75,0.64,-30.34,200.543,8.861366,213.662
199.92,14.95,199.74,309.85,-14.74,182.825,10.26542,214.7177
199.92,14.96,199.73,291.43,8.9,85.68105,12.75508,254.6636
199.92,14.9,199.73,207.55,34.4,190.566,30.08848,182.2035
199.92,14.95,199.74,212.24,33.62,189.1001,29.86548,182.8146
199.92,14.88,199.74,135.76,11.85,271.3353,22.93859,129.9383
199.92,14.95,199.74,263.55,11.37,185.8021,19.5971,198.5032
199.92,14.89,199.74,177.91,17.19,200.6734,22.77237,179.8113
199.92,14.97,199.74,250.82,13.19,191.5856,18.81122,197.5634
199.92,14.94,199.74,313.65,-14.24,180.5872,9.225608,218.3718
199.92,14.93,199.74,318.19,-14.67,181.6265,8.525947,221.0656
199.92,14.89,199.74,334.88,-20.75,189.6122,6.119075,223.9284
199.92,14.96,199.74,62.29,-22.33,211.8337,11.45791,206.1764
199.92,14.99,199.74,103.08,-4.85,251.1912,8.876764,186.2206
199.92,14.86,199.74,54.86,-27.53,209.3073,11.26708,206.2469
199.92,14.87,199.74,48.38,-28.18,208.5846,11.10588,207.2751
199.92,14.95,199.74,132.12,4.3,253.3296,15.1729,148.4193
199.92,14.88,199.74,233.45,17.35,192.5878,19.66176,195.0709
199.92,14.89,199.74,84.02,-19.04,213.7238,12.16967,201.1859
199.92,14.85,199.74,7.82,-28.26,202.6345,8.162614,215.6609
199.91,14.89,199.74,24.86,-26.05,206.8625,8.826748,214.6459
199.91,14.93,199.73,147.56,11.48,247.6171,23.29035,119.5749
199.91,14.98,199.74,49.69,-26.04,209.9536,10.64831,208.3541
199.91,14.88,199.73,348.04,-24.68,194.9775,5.737405,222.647
199.91,14.93,199.73,319.3,-19.05,185.2502,8.950414,216.4178
199.91,14.89,199.73,255.89,12.78,189.2725,19.48553,197.087
199.91,14.89,199.74,227.9,20.48,193.168,20.52779,193.5227
199.9,14.93,199.73,140.3,13.42,263.7943,25.87601,126.2098
199.9,14.86,199.73,335.59,-22.05,190.202,6.393941,222.2584
199.9,14.87,199.73,318.45,-15.72,181.1539,7.991374,221.0834
199.9,14.95,199.73,20.4,-34.79,203.7296,10.41134,209.1359
199.89,14.89,199.73,87.73,-16.93,216.2037,11.90405,200.334
199.89,14.95,199.73,252.13,18.01,186.0758,21.38975,196.0293
199.9,14.98,199.72,349.31,-32.62,198.1589,9.46628,211.7767
199.9,14.98,199.72,301.61,-11.39,182.5517,12.16052,210.9278
199.9,14.98,199.72,67.52,-20.58,213.239,11.35455,205.8035
199.9,14.9,199.72,52.43,-25.83,209.556,10.99671,207.511
199.89,14.91,199.72,91.77,-15.72,217.1758,11.95357,199.088
199.89,14.91,199.72,138.71,11.71,261.3485,25.19666,126.6742
199.89,14.97,199.72,283.64,-3.61,185.9277,15.87458,203.4102
199.9,14.91,199.72,197.42,21.2,196.6028,21.57085,188.6397
199.9,14.93,199.72,280.95,3.62,106.8127,10.28817,217.9197
199.9,14.99,199.71,98.93,1.11,286.6189,7.835178,189.8942
199.9,14.9,199.71,39.02,-18.83,213.4089,8.495883,217.9313
199.89,14.9,199.7,349.41,-13.84,194.5289,5.020715,239.0658
199.89,14.92,199.7,230.04,31.22,185.59,27.52218,188.7236
199.89,14.95,199.7,247.33,22.53,184.5352,23.50091,194.1017
199.89,14.92,199.7,188.4,19.2,198.3323,20.88943,188.6235
199.89,14.88,199.7,106.57,-3.64,253.0974,9.203401,184.6566
199.89,14.98,199.7,153.5,20.24,250.742,37.70164,104.9651
199.88,14.96,199.71,149.03,14.62,251.378,27.92304,117.7266
199.88,14.92,199.71,214.21,24.93,188.2506,26.43846,182.1398
199.88,14.91,199.71,213.39,31.08,191.5156,26.05132,186.7952
199.88,14.93,199.71,313.56,-7.25,166.9624,7.793655,234.7765
199.88,14.99,199.7,279.64,14.63,75.23019,24.87199,232.3829
199.88,14.89,199.69,298.33,5.75,98.74193,7.871937,265.149
199.88,14.95,199.68,50.2,-21.62,212.119,10.33643,210.4277
199.89,15.0,199.68,300.53,-10.5,182.5178,12.44449,211.0357
199.89,14.93,199.68,203.13,25.96,194.5394,23.32784,188.0731
199.89,14.95,199.68,254.34,11.98,189.9228,18.77223,197.8418
199.88,14.95,199.68,154.9,23.24,253.9387,43.82401,88.38876
199.86,14.92,199.67,155.48,19.08,246.6044,35.69107,98.4238
199.86,14.95,199.67,128.85,5.04,257.0039,16.0351,152.0425
199.85,14.93,199.67,74.66,-20.58,213.3662,11.65717,203.6552
199.85,14.93,199.67,81.1,-5.03,254.4873,7.715891,212.7051
199.84,14.95,199.67,11.84,-18.94,206.0607,5.22974,229.4578
199.83,14.95,199.66,52.14,-20.08,213.8095,9.86914,211.6098
199.83,14.93,199.66,36.06,-25.3,208.5271,9.467012,212.6792
199.83,14.96,199.66,78.98,-17.93,215.2093,11.57159,203.0916
199.83,15.0,199.65,76.62,-23.18,210.765,12.2554,202.5148
199.83,14.95,199.65,291.47,4.85,100.6669,9.219016,242.1801
199.83,15.02,199.65,322.36,-21.76,188.7824,9.066125,214.8737
199.83,14.98,199.65,295.89,-5.34,176.4399,13.64458,211.2518
199.83,15.01,199.65,192.11,21.85,197.8911,21.52034,188.8053
199.83,15.02,199.65,137.0,10.03,291.1378,13.51302,100.2571
199.83,15.04,199.65,135.58,2.77,248.6941,13.47412,148.242
199.82,15.0,199.65,154.67,17.82,251.8705,32.32962,87.28075
199.82,14.95,199.65,228.97,20.54,192.6519,20.69521,193.5316
199.82,14.94,199.65,121.3,1.15,252.4322,13.08958,165.9678
199.82,14.95,199.65,96.96,-12.91,228.1814,9.61502,195.8837
199.82,14.95,199.66,292.82,-3.32,175.4036,14.5086,210.1457
199.82,14.99,199.65,332.94,-24.19,191.0372,7.820843,217.5689
199.82,15.03,199.65,296.45,-15.02,190.66,13.85745,205.1863
199.82,15.02,199.65,345.87,-30.24,196.9433,8.840485,213.4777
199.82,14.96,199.65,69.61,-17.92,217.0746,10.719,206.5675
199.82,14.97,199.64,345.81,-21.52,194.0185,5.010085,226.9204
199.82,14.95,199.63,347.81,-13.02,193.6543,5.559978,239.0469
199.83,15.02,199.63,282.8,8.69,93.04245,15.77388,232.7432
199.83,14.96,199.63,99.86,1.79,291.1568,7.737448,192.2273
199.82,15.01,199.62,49.45,-14.6,220.2577,8.49475,219.2681
199.82,14.98,199.62,101.17,2.89,297.9844,7.779448,185.8822
199.81,14.98,199.62,342.78,-8.74,188.9675,6.555686,245.845
199.81,15.01,199.62,228.97,26.11,189.6838,23.17739,191.8112
199.81,14.98,199.62,336.44,-14.79,187.6221,5.719775,233.3736
199.81,15.0,199.62,22.22,-23.5,207.5308,7.900929,218.1979
199.81,14.96,199.62,97.21,-7.37,247.2105,7.930367,193.0707
199.8,14.96,199.62,153.77,14.23,254.1792,24.07797,82.0284
199.81,14.94,199.62,343.68,-27.66,194.8519,7.777375,216.5127
