x_pos,y_pos,z_pos,x_angle,y_angle,x_target,y_target,z_target
150.0,7.97,150.0,308.89,10.0,51.09578,7.775875,230.2213
150.0,7.97,150.0,27.73,-4.91,159.8353,7.907595,167.9964
150.0,7.98,150.0,257.99,3.53,83.61043,7.793718,135.673
150.0,7.97,150.0,29.46,-5.0,159.8282,7.881408,168.0692
150.0,7.97,150.0,2.17,-5.0,150.4534,7.859515,170.7187
150.0,7.98,150.0,103.92,-0.18,188.4535,7.903887,140.7422
150.0,7.97,150.0,77.9,8.37,258.5628,7.855558,173.3525
150.0,7.98,150.0,51.88,6.7,225.4069,7.75514,209.5635
150.0,7.99,150.0,206.57,-5.0,140.416,7.85937,131.6369
150.0,7.99,150.0,357.03,-5.0,148.6058,7.858896,170.7072
150.0,7.97,150.0,281.58,-0.21,111.1392,7.889833,158.3335
150.01,7.99,150.0,333.45,-5.0,141.1091,7.888855,168.6173
150.01,8.0,150.0,48.5,2.98,196.6599,7.899248,190.8099
150.01,7.99,150.0,228.86,10.0,54.17273,7.768298,65.86699
150.01,7.99,150.01,47.55,-5.0,165.029,7.86097,163.6662
150.01,7.99,150.02,203.14,3.3,124.2831,7.817658,89.51505
150.01,7.97,150.02,138.44,10.0,234.7683,7.78553,54.40198
150.01,8.0,150.02,71.24,10.0,270.9457,7.763264,190.7916
150.01,7.99,150.03,168.37,-5.0,153.9201,7.867539,129.545
150.01,8.0,150.03,114.54,10.0,265.6295,7.775378,96.8871
150.01,7.97,150.03,236.48,10.0,43.60052,7.777136,79.36343
150.01,7.98,150.03,236.95,5.0,83.43895,7.875206,106.3922
150.01,8.0,150.03,263.42,-5.0,129.7197,7.869069,147.4121
150.01,7.98,150.03,101.67,1.69,201.151,7.908165,139.1755
150.01,7.97,150.03,314.42,8.5,68.59065,7.679002,229.3658
150.01,7.98,150.03,209.54,-5.0,139.5146,7.882028,132.2352
150.01,7.98,150.03,99.78,3.11,212.026,7.910954,139.5132
150.01,7.98,150.02,354.52,-5.0,147.7173,7.869394,170.6711
150.01,8.0,150.02,45.39,5.11,207.2949,7.83744,206.6697
150.01,7.98,150.02,326.72,8.29,88.82008,7.719019,242.8211
150.01,7.97,150.02,204.05,-5.0,141.3205,7.875183,130.9474
150.01,7.99,150.02,339.01,10.0,104.5606,7.793328,268.7015
150.01,8.0,150.02,33.84,3.24,186.1616,7.885216,203.5587
150.01,7.98,150.02,87.01,3.31,215.6269,7.84802,153.6292
150.01,7.97,150.02,247.72,10.0,32.37372,7.783081,101.9376
150.01,7.99,150.02,308.91,0.1,118.5603,7.945868,175.7113
