x_pos,y_pos,z_pos,x_angle,y_angle,x_target,y_target,z_target
100.0,8.0,100.0,313.54,7.22,83.55716,12.15813,116.0543
100.0,8.04,100.0,287.19,5.24,79.45486,11.36475,106.6466
100.0,8.04,100.0,280.83,9.69,62.83339,14.43431,106.8751
100.01,8.02,100.0,296.23,3.67,82.67297,10.80754,108.9152
100.01,8.01,100.0,336.9,7.81,85.74124,13.16885,133.5063
100.01,8.03,100.0,315.69,6.86,52.88926,11.67062,148.4345
100.01,8.04,100.0,200.12,7.58,64.38782,7.878754,2.153998
100.01,8.03,100.0,292.77,5.33,80.58392,11.35402,107.9228
100.01,8.04,100.0,35.19,-3.81,109.9664,8.70819,113.7784
100.01,8.05,100.0,181.17,6.88,97.35525,7.88374,2.740261
100.01,8.01,100.0,66.09,10.25,138.9336,15.07608,116.8004
100.01,8.02,100.0,314.73,9.63,82.1163,13.29814,117.1288
100.01,8.03,100.0,254.99,-2.04,77.50801,8.707138,93.90991
100.01,8.04,100.0,248.34,1.46,71.02904,9.669694,88.70354
100.02,8.03,99.99,271.32,-4.35,83.47373,8.66011,100.5126
100.02,8.03,99.99,137.26,2.49,139.5077,7.910308,56.65076
100.02,8.02,99.99,201.41,7.31,62.34973,7.826745,5.260821
100.02,8.04,99.99,244.53,-0.35,68.77283,8.413123,85.3245
100.02,8.04,99.99,244.16,5.02,68.01689,11.47432,84.54862
100.02,8.03,99.99,32.0,10.34,126.6309,15.5535,143.5869
100.02,8.03,99.99,148.5,7.04,151.513,7.758646,15.18469
100.02,8.03,99.99,188.54,0.29,93.23841,7.881625,57.42769
100.02,8.03,99.99,262.24,5.81,69.32143,11.89022,95.95757
100.02,8.04,99.99,356.94,3.0,96.17535,7.83009,163.1299
100.02,8.05,99.99,124.11,10.18,206.7912,7.745276,27.17029
100.02,8.02,99.99,344.92,10.02,77.09296,14.04719,184.351
100.02,8.03,99.99,343.49,10.31,64.26192,8.761642,220.8374
100.02,8.02,99.99,302.54,8.67,69.0168,13.70216,119.9509
100.02,8.01,99.99,90.54,2.81,120.6416,10.56469,100.1163
100.02,8.02,99.99,103.02,-4.64,112.3214,8.989328,97.37547
100.02,8.04,99.99,83.6,-3.75,112.7995,9.172447,101.759
100.01,8.04,99.99,78.02,6.96,147.37,12.68022,110.3825
100.01,8.05,99.99,323.94,10.02,83.7087,13.69134,121.9346
100.01,8.01,99.99,343.67,9.64,74.37825,13.34583,185.0313
100.01,8.04,99.99,26.25,6.05,122.565,11.83287,146.5419
100.01,8.06,99.99,279.27,-5.36,85.92512,8.687879,102.393
100.01,8.03,99.99,196.68,-1.5,90.14294,7.903447,68.36207
100.02,8.05,99.99,293.67,-0.53,84.7843,9.636852,106.4539
100.02,8.05,99.99,337.53,-1.82,93.06051,9.241241,115.8714
100.02,8.03,99.99,57.25,-0.49,114.4416,9.616854,109.0401
100.02,8.02,99.99,49.69,8.76,133.0992,14.06616,128.0551
100.01,8.04,99.99,30.56,10.63,131.083,16.03201,153.6244
100.01,8.03,99.99,145.88,-3.44,112.5144,8.195048,80.91835
100.01,8.05,99.99,280.58,-5.51,86.06766,8.639066,102.8358
100.01,8.04,99.99,208.22,-3.63,88.67849,7.937632,78.45432
100.01,8.02,99.99,257.91,8.64,67.19419,13.5105,92.67424
100.01,8.02,99.99,227.26,9.07,12.85848,7.690214,18.88375
100.01,8.04,100.0,149.9,4.58,138.5446,7.846684,33.53658
100.01,8.04,100.0,112.71,-0.98,116.1652,9.49455,92.948
100.01,8.04,99.99,254.5,-6.36,83.60261,7.983994,95.16494
100.01,8.03,100.0,234.49,-5.32,83.2644,7.810156,87.6701
100.01,8.03,100.0,29.16,-4.62,108.1209,8.485741,114.976
100.01,8.03,99.99,317.33,-1.69,68.1861,5.932923,134.0585
100.01,8.04,100.0,189.53,-2.24,94.75555,7.911435,70.88084
100.01,8.04,100.0,31.02,-4.32,108.6154,8.554406,114.6519
100.01,8.03,100.0,327.84,-5.39,92.60725,8.679914,111.4622
100.01,8.03,100.0,299.19,0.86,47.03882,5.909554,129.6326
100.01,8.05,100.0,357.5,-0.6,99.19405,9.007564,126.162
100.01,8.04,100.0,238.48,5.29,67.7775,11.584,80.35197
100.01,8.03,100.0,132.46,-4.62,111.7111,8.595524,88.79707
100.01,8.03,100.0,15.34,-4.55,105.2636,8.20393,118.4845
100.01,8.02,100.0,312.16,-7.23,78.12737,5.412137,119.4894
100.01,8.01,100.0,193.28,3.68,84.10409,7.844505,33.40885
100.02,8.01,100.0,275.5,-5.02,84.91988,8.638116,101.7835
100.02,8.01,100.0,124.11,-0.57,116.9217,9.407701,88.10287
100.02,8.05,100.0,285.58,3.9,79.75056,10.86853,105.7098
100.02,8.02,100.0,184.33,-0.99,97.09302,7.943336,65.07763
100.02,8.01,100.0,189.06,-5.54,97.05349,7.892649,81.03725
100.02,8.04,100.0,307.27,-5.77,90.0107,8.720716,108.0604
100.02,8.04,100.0,268.55,-5.08,83.73375,8.474792,99.92905
