x_pos,y_pos,z_pos,x_angle,y_angle,x_target,y_target,z_target
200.0,10.76,100.0,64.89,-5.42,223.8216,9.608067,111.5004
200.0,10.77,100.0,90.94,-15.3,216.3415,8.217938,99.65848
200.0,10.75,100.0,38.84,7.88,253.8407,14.13893,164.3662
200.0,10.78,100.0,217.32,1.07,164.137,7.895956,45.79729
200.0,10.78,100.0,250.46,2.26,187.2207,12.97691,94.51832
200.0,10.78,100.0,320.1,14.32,193.8948,15.24137,107.0314
199.99,10.79,100.0,67.35,-8.23,220.8184,9.133319,108.8915
200.0,10.77,100.0,260.73,7.95,185.7983,14.62657,97.37322
200.0,10.79,100.0,310.9,20.65,191.1131,17.18131,107.6227
200.0,10.79,100.0,61.42,8.96,238.9613,16.87215,117.8268
200.0,10.77,100.0,220.1,-0.39,185.3324,11.69764,80.30948
200.0,10.79,100.0,109.4,-15.46,215.3109,7.865338,93.79662
200.0,10.79,100.0,147.79,-11.68,211.4621,7.661168,82.13756
199.99,10.81,100.0,95.85,-5.03,224.2024,9.59474,95.71227
199.99,10.77,100.0,287.58,11.07,169.981,17.73591,109.6578
199.99,10.79,100.01,359.42,12.52,200.1245,15.31078,111.6488
199.99,10.76,100.01,147.17,-15.02,209.6876,7.666997,85.32439
199.99,10.77,100.02,95.03,-3.26,225.5836,10.18055,95.99496
199.99,10.77,100.02,121.87,-11.4,217.594,7.816764,88.15115
199.98,10.76,100.02,163.62,-19.74,203.7365,7.804259,86.60802
199.98,10.78,100.02,213.18,-14.35,192.8971,9.430148,88.99316
199.99,10.76,100.02,297.77,14.02,182.4592,17.56246,108.9785
199.98,10.79,100.02,90.77,-11.82,219.3543,8.414474,99.48448
199.98,10.78,100.02,150.17,-22.14,205.9123,7.879634,89.17595
199.98,10.79,100.02,268.34,15.24,183.4584,16.96167,98.78383
199.98,10.81,100.02,322.12,29.78,189.0075,22.41062,113.9847
199.98,10.77,100.02,133.08,-11.37,216.5704,7.709899,84.18363
199.98,10.76,100.02,166.5,-11.36,205.4475,7.809417,79.51534
199.98,10.78,100.02,338.52,17.68,196.1636,16.39803,110.7244
199.98,10.79,100.02,301.64,14.38,183.6667,17.38088,109.908
199.98,10.8,100.02,40.9,0.23,222.7138,11.29952,126.4231
199.98,10.81,100.02,12.88,10.18,203.847,15.34647,114.8479
199.98,10.78,100.02,255.52,1.4,189.2384,12.87828,96.81734
199.99,10.81,100.02,253.22,5.59,186.1799,13.79368,94.73578
199.99,10.77,100.02,338.7,30.14,191.5967,25.77739,122.3653
199.99,10.76,100.02,26.97,10.62,264.65,7.812659,230.0843
199.99,10.76,100.02,97.25,-16.13,215.9353,8.130641,98.12195
199.98,10.79,100.02,194.75,-14.92,196.5719,8.246754,84.47512
199.98,10.76,100.02,54.46,-1.93,225.6252,10.36802,116.9578
199.98,10.77,100.03,292.23,10.48,182.375,15.93395,106.7889
199.98,10.79,100.03,355.52,13.12,199.3542,15.43018,111.1643
199.98,10.77,100.02,319.72,15.72,193.9584,15.62031,107.5815
199.98,10.81,100.02,279.28,9.87,172.4644,16.86337,104.7618
199.98,10.79,100.02,325.22,16.61,194.1968,15.80262,107.9566
199.99,10.79,100.02,338.7,29.84,191.8214,25.35687,122.1446
199.99,10.76,100.02,154.27,-10.07,209.8389,7.792805,78.85237
199.99,10.79,100.02,73.97,3.1,230.5295,12.87904,106.1123
199.98,10.79,100.03,36.44,2.22,224.5546,12.0452,133.6316
199.98,10.78,100.02,56.67,-4.85,222.1409,9.780731,114.6919
199.98,10.75,100.02,176.65,-20.61,201.3349,7.96524,87.42599
199.98,10.78,100.03,157.4,-9.58,209.9305,7.828274,77.93755
199.97,10.76,100.03,110.45,-21.35,211.9689,7.960822,95.64822
199.97,10.78,100.03,132.24,-20.63,210.1192,7.71578,90.96906
199.97,10.76,100.03,327.72,17.64,194.7648,16.129,108.8204
199.97,10.77,100.03,325.65,22.94,192.8595,18.24951,110.8884
199.97,10.77,100.03,33.99,12.56,294.7938,7.592446,231.9144
199.97,10.77,100.03,8.83,16.13,229.1648,7.761945,291.7108
199.97,10.79,100.03,345.22,23.17,196.3282,19.59074,116.1703
199.97,10.81,100.03,199.4,-3.62,188.5898,8.253101,62.87142
199.97,10.79,100.03,292.67,18.17,182.9082,18.48155,106.7857
199.98,10.78,100.03,203.42,-17.9,195.0176,8.82571,88.51237
199.98,10.81,100.03,200.93,-9.01,192.9787,8.770834,79.3702
199.98,10.79,100.03,132.53,-21.62,209.2672,7.94462,91.6904
199.97,10.79,100.03,335.81,16.65,195.8405,15.88528,109.3408
199.97,10.76,100.03,58.02,3.29,233.2875,12.92666,118.8894
199.97,10.78,100.03,46.01,1.57,254.6151,6.498932,154.8123
199.97,10.78,100.03,29.22,3.62,210.5979,13.51694,118.4378
199.97,10.8,100.03,301.8,13.95,191.7849,15.15961,104.66
199.97,10.78,100.03,268.74,10.98,186.4059,15.02261,98.67342
199.97,10.78,100.03,178.66,-9.38,201.6257,7.794507,75.45168
199.97,10.78,100.04,118.16,-8.91,219.6428,8.315286,88.10294
199.97,10.78,100.04,186.75,-20.17,199.1084,8.107132,87.51254
199.97,10.79,100.04,45.89,2.79,235.1893,12.01735,135.3214
199.96,10.78,100.04,210.09,-7.54,191.0764,9.642371,82.67849
199.96,10.77,100.04,40.01,6.13,248.0441,12.73028,156.4142
199.96,10.77,100.04,105.21,-13.94,216.8732,8.085313,94.95306
199.96,10.77,100.04,349.99,14.58,198.4173,15.71725,110.8408
199.96,10.79,100.04,295.33,20.83,187.8432,17.74138,105.5729
199.96,10.79,100.04,204.33,-12.71,193.9817,8.879114,85.2176
199.96,10.81,100.04,232.64,7.86,177.3757,15.67355,79.71638
199.96,10.81,100.04,140.7,-12.37,212.8142,7.634439,83.91054
199.96,10.8,100.05,268.47,18.43,55.421,26.51949,90.42226
199.96,10.82,100.05,297.96,10.43,192.1015,14.59076,104.2941
199.96,10.79,100.05,288.3,14.67,182.4778,17.44867,105.9768
199.96,10.81,100.05,10.82,11.1,203.0381,15.79648,115.4466
199.96,10.77,100.05,119.94,-21.85,210.9995,7.893774,93.84211
199.96,10.77,100.04,111.53,-9.05,220.4855,8.507427,91.29523
199.96,10.82,100.05,278.34,22.91,179.2898,20.70725,101.266
199.96,10.82,100.05,168.79,-10.43,205.4291,7.84359,78.39088
199.96,10.82,100.05,254.78,15.01,178.1011,18.19188,92.3219
199.96,10.77,100.05,241.64,8.76,157.7774,16.87548,73.98406
199.96,10.8,100.04,318.4,28.91,188.3313,21.94149,112.8245
199.96,10.8,100.05,142.63,-20.09,207.9709,7.787652,89.10419
199.96,10.82,100.05,190.63,-22.44,197.9928,8.295744,88.98671
199.96,10.79,100.05,106.28,-18.94,212.8672,8.21846,96.23244
199.96,10.78,100.05,122.22,-16.51,213.5817,7.808102,91.27367
199.95,10.83,100.05,101.21,-5.14,224.4758,9.603448,93.5601
199.95,10.83,100.05,58.02,10.08,242.3776,17.99658,122.5889
199.95,10.82,100.05,152.54,-11.54,210.0533,7.72362,80.81848
199.95,10.8,100.05,166.82,-20.1,203.12,7.854319,86.91547
199.95,10.77,100.05,20.92,8.41,207.5946,15.63322,120.8029
199.95,10.81,100.05,217.52,-12.11,192.304,9.878347,89.26124
199.95,10.78,100.05,66.24,8.99,256.666,16.87619,119.9052
199.95,10.82,100.06,113.72,-20.95,211.1171,8.044766,95.03207
199.95,10.82,100.06,185.82,-21.2,199.1443,7.985857,87.30525
199.95,10.81,100.07,307.55,21.16,190.2209,17.61029,107.7214
