x_pos,y_pos,z_pos,x_angle,y_angle,x_target,y_target,z_target
248.79,7.99,87.9,124.06,9.23,297.6106,7.742956,205.0129
300.0,7.99,29.14,308.06,5.09,227.4317,7.818494,1.484936
172.78,8.0,128.3,278.73,6.16,121.7182,7.715451,177.4008
100.3,8.0,190.82,82.56,3.59,148.9818,7.909406,233.26
162.05,7.97,166.91,358.31,0.78,153.9377,7.953222,220.0476
189.59,7.98,50.92,120.98,-1.25,219.502,7.855669,46.15845
173.79,7.97,100.66,223.58,8.22,85.69489,7.736134,43.25493
112.51,7.97,214.84,90.36,10.0,228.6827,7.760969,94.29537
67.96,7.97,300.0,240.95,10.0,143.3239,7.761245,171.7802
234.23,7.97,184.54,232.42,9.23,178.7528,7.775435,85.10185
299.89,7.98,100.05,34.46,6.41,213.9785,7.802405,198.4717
117.2,7.98,14.5,316.32,1.02,84.86985,7.914812,47.99004
100.59,7.99,0.0,23.16,4.34,60.22651,7.912867,60.74607
45.2,8.0,159.41,317.75,10.0,29.05856,7.860025,251.3645
184.72,7.98,161.88,276.93,8.7,75.19586,7.795787,253.1567
288.66,7.98,103.34,174.03,7.67,229.1918,7.742557,8.992767
166.23,7.99,297.03,254.61,10.0,62.68021,7.754986,237.6209
81.49,8.0,300.0,181.08,10.0,147.1601,7.756324,181.4949
38.37,7.98,114.21,4.89,1.8,33.21772,7.871954,179.3826
41.33,7.98,6.37,75.85,-1.01,77.22868,7.885578,17.2451
12.78,8.0,70.03,139.55,1.81,43.8182,7.856713,25.88379
106.43,7.98,141.72,139.63,4.89,158.1004,7.878264,91.02636
201.42,8.0,214.44,262.65,4.39,114.0651,7.862969,163.7677
268.18,8.0,300.0,111.27,-4.09,289.3112,7.953139,291.6685
177.21,7.99,242.42,184.53,-2.05,178.1803,7.884662,212.9576
82.67,7.99,169.58,307.32,0.0,49.87635,7.852864,195.5322
76.36,7.97,49.55,47.94,-1.3,101.8975,7.931489,72.29987
205.57,8.0,59.98,274.62,2.03,141.8194,7.945363,75.79986
244.01,7.99,135.86,178.04,3.57,204.1484,7.923263,95.54871
221.9,7.97,34.44,15.12,0.75,247.091,7.8299,90.99461
157.3,7.99,4.46,345.06,-2.07,162.6797,7.854023,36.29666
79.76,7.99,4.08,46.72,-4.88,94.43571,7.928771,18.0725
56.9,7.97,186.82,31.44,-5.0,64.51839,7.917042,202.6583
125.69,7.97,272.71,41.87,-5.0,140.852,7.906412,291.5908
110.7,7.99,299.98,147.81,-5.0,121.3765,7.895917,282.4623
13.35,7.99,236.54,351.18,-5.0,13.07993,7.920704,258.6411
72.4,7.99,297.31,220.88,0.63,42.08464,7.953047,257.0042
61.23,8.0,233.16,104.91,-2.19,94.21664,7.895071,229.023
57.27,7.99,255.48,235.54,0.88,16.63556,7.850006,227.1996
168.22,7.97,190.79,8.51,3.19,133.1374,7.864649,269.5433
254.35,8.0,140.57,347.66,0.63,244.5108,7.953329,189.0311
233.06,8.0,87.25,102.92,-1.19,268.4665,7.952908,79.36369
136.01,7.98,17.5,339.89,-1.7,132.7392,7.915816,53.10835
66.72,8.0,47.8,14.36,-4.53,72.38875,7.932261,69.85921
111.72,7.98,157.62,272.25,-5.0,90.26939,7.911461,156.189
156.9,8.0,267.91,34.79,-5.0,165.8079,7.911608,282.0422
193.53,7.97,232.07,167.9,-3.46,197.1986,7.934075,206.4738
72.88,7.98,183.26,199.16,-0.11,77.32168,7.886029,147.6696
0.0,7.98,171.43,43.33,1.94,6.657442,7.839918,220.0866
45.93,7.98,265.46,180.68,-0.87,37.92425,7.913086,223.2908
125.58,7.99,273.98,198.44,-3.68,118.1481,7.831562,248.4205
154.13,7.98,158.82,76.42,-5.0,174.2587,7.919047,164.1409
182.89,7.97,42.81,313.51,-5.0,167.9549,7.908682,61.81709
127.21,7.98,13.16,356.41,-5.0,122.6673,7.898302,36.65403
54.1,7.99,106.76,37.68,-3.97,68.51102,7.842001,126.5321
0.0,7.99,182.13,74.88,-1.93,31.30571,7.864129,187.7928
0.0,8.0,224.45,17.82,-4.99,10.85812,7.815019,240.3044
1.98,7.99,188.03,101.66,-5.0,23.80672,7.923425,183.9938
88.77,7.99,120.13,306.03,-5.0,72.42475,7.923833,131.8768
185.68,7.98,51.0,183.49,-5.0,182.2199,7.923847,31.24769
209.71,7.98,131.36,90.76,-3.97,233.9319,7.845129,131.197
232.11,8.0,248.42,213.3,-5.0,221.0853,7.902925,227.979
294.13,7.98,209.25,323.7,-3.98,281.0184,7.953668,231.6636
183.37,8.0,186.19,266.49,-0.89,156.3124,7.940683,189.6749
64.05,8.0,183.83,143.71,2.18,98.1879,7.875467,133.519
65.68,8.0,0.0,315.94,4.74,57.47101,7.792173,84.63942
158.5,7.97,55.5,314.0,2.94,97.02134,7.902,81.40229
165.5,8.0,249.11,259.31,7.96,81.74158,7.808777,277.6276
62.33,7.97,286.01,146.58,5.14,99.47408,7.772072,191.6167
33.69,7.97,179.24,87.31,10.0,92.78175,7.75558,101.8259
129.05,7.99,107.99,209.86,10.0,122.4331,7.744711,4.222953
225.01,7.99,36.29,250.48,10.0,68.04112,7.747604,103.8373
300.0,7.99,0.0,309.87,3.85,231.7045,7.841421,34.95932
192.56,7.99,43.19,322.72,-5.0,184.7767,7.907557,62.12204
96.71,7.98,101.4,235.15,-5.0,79.95058,7.89812,89.8987
167.12,7.98,198.25,112.0,-1.92,193.7807,7.951633,183.2284
221.31,8.0,300.0,105.94,-3.72,244.6677,7.920059,291.7943
283.87,8.0,300.0,196.83,-5.0,277.6482,7.90273,280.518
214.0,7.98,260.39,188.38,-3.98,214.5969,7.933935,240.4979
144.49,7.99,163.54,311.04,-0.91,118.9129,7.93188,188.7094
64.86,7.98,138.84,218.21,1.66,59.76896,7.874538,74.12891
156.58,7.98,154.34,228.37,-1.15,126.7249,7.930109,132.513
273.56,7.98,130.08,167.03,-0.64,280.5,7.868337,95.36729
177.91,7.99,172.96,199.78,1.41,178.3941,7.936592,123.7625
75.24,7.98,134.33,86.93,-1.41,112.257,7.92886,135.2073
79.95,7.97,11.02,324.6,-4.75,68.39172,7.850736,28.605
125.6,7.98,71.24,300.07,-1.68,98.08188,7.94974,85.0364
66.24,7.99,174.69,62.73,-3.73,88.9017,7.895266,183.8404
6.64,7.99,278.55,186.0,-1.67,11.19566,7.950573,239.1728
72.44,7.97,272.89,225.26,-1.94,49.80974,7.912159,251.7069
158.58,8.0,189.65,163.83,1.14,162.6055,7.847028,145.5407
251.17,7.99,100.15,31.34,4.45,294.61,7.791664,159.624
218.27,7.97,155.3,338.69,-0.17,200.9226,7.945786,187.267
217.86,7.99,274.88,101.72,0.85,266.6522,7.898387,264.362
269.7,7.98,299.89,171.43,3.41,235.2328,7.861013,247.0625
188.59,8.0,242.05,25.95,0.6,227.2939,7.934986,286.7651
102.53,7.99,174.61,273.47,0.84,59.62537,7.911177,183.7692
0.0,7.97,95.75,156.08,4.17,40.1552,7.9285,40.27031
129.47,8.0,152.97,122.47,2.87,179.7121,7.82579,134.4565
236.45,7.97,131.89,30.59,0.07,256.8077,7.928264,167.6645
300.0,7.98,141.89,212.12,-2.75,285.3955,7.955773,119.6968
293.94,7.98,95.77,268.95,-5.0,273.7574,7.919455,95.97772
185.34,8.0,74.06,298.05,-4.75,169.4898,7.815956,83.19535
66.52,7.99,62.35,60.96,-1.67,99.3146,7.890471,82.20681
0.0,7.97,13.81,0.01,1.41,10.74897,7.863174,72.70644
72.2,7.97,38.63,30.58,4.74,144.7705,7.814141,14.62907
43.86,7.97,151.28,91.32,7.81,142.1847,7.879036,170.1225
14.7,7.99,267.22,193.98,6.79,13.00934,7.745719,133.7407
67.23,8.0,290.6,228.29,3.96,3.617451,7.85366,235.7015
146.41,7.97,215.54,115.76,1.14,174.9876,7.949096,191.1853
225.8,7.98,140.28,166.06,-1.68,233.2286,7.841906,113.5243
165.35,7.97,80.95,41.33,-4.49,179.9775,7.948726,97.66999
49.67,7.98,52.4,163.99,-5.0,59.09694,7.903358,33.37004
0.0,7.99,70.7,149.49,-5.0,11.75026,7.92808,57.98258
30.84,7.98,153.02,351.51,0.38,10.02975,7.942707,192.5513
145.05,7.98,146.66,229.05,3.45,72.39826,7.786305,118.3767
274.65,7.99,139.45,197.9,6.79,263.9532,7.847503,50.28011
170.49,7.99,61.57,60.21,10.0,250.0942,7.767324,159.8721
73.96,7.99,132.44,296.94,7.95,59.1965,7.680787,220.4432
8.06,7.98,229.02,142.22,7.19,77.18903,7.763052,116.8847
0.0,7.98,186.44,17.2,7.43,60.98416,7.834091,298.7436
69.26,7.97,135.64,325.85,4.62,33.4175,7.820109,227.1567
172.92,7.97,97.69,212.28,3.32,107.1421,7.847191,63.73536
163.99,7.97,207.12,195.62,5.65,197.8278,7.792933,87.51889
63.35,8.0,275.72,304.19,0.34,27.39379,7.847242,300.6373
96.47,7.97,133.89,64.3,-5.04,114.754,7.892375,143.3665
202.2,7.98,77.62,167.1,-5.04,202.4897,7.880234,58.60756
224.47,7.97,226.95,164.41,-1.21,244.3366,7.862152,187.1734
125.68,7.97,296.19,237.84,-4.97,109.5835,7.91668,290.9176
72.38,7.98,207.22,91.6,-2.49,99.93901,7.965482,205.2823
16.06,7.97,101.72,328.69,-2.38,1.044983,7.900887,127.7292
0.1,8.0,0.0,49.86,0.09,37.76276,7.935711,15.70267
106.25,7.97,57.14,307.7,8.79,42.24902,7.79459,185.7907
300.0,8.0,27.65,56.67,8.16,278.6189,7.822837,145.1026
18.22,7.99,164.43,339.14,10.05,92.70753,7.778721,274.67
300.0,7.99,0.0,357.57,8.75,192.3458,7.859434,23.54456
182.1,7.97,9.13,306.68,6.5,96.16278,7.796802,3.642709
137.46,8.0,101.35,76.47,3.57,207.5285,7.825346,123.9951
90.86,8.0,200.65,189.31,2.81,95.486,7.818616,131.0496
201.11,7.99,300.0,131.33,7.14,248.4109,7.791305,216.5791
145.24,7.97,300.0,263.94,10.05,176.5399,7.760124,177.6599
300.0,7.98,188.12,110.84,6.86,291.5603,7.850492,99.43709
282.4,7.99,259.92,195.35,4.11,217.666,7.855376,228.2352
190.62,7.98,242.29,228.11,1.59,160.5748,7.863558,203.2964
76.77,7.99,205.48,351.13,-1.47,74.12382,7.882125,241.9007
0.0,8.0,184.11,152.73,-4.38,12.44894,7.8742,163.8947
41.13,7.99,255.12,52.8,-5.03,63.64194,7.918184,266.2989
160.64,7.97,258.14,12.32,-4.98,166.1961,7.937531,278.6138
280.47,7.99,261.18,248.92,-3.67,254.7978,7.828437,252.9336
276.36,8.0,185.36,289.36,-0.58,244.0152,7.94463,197.6025
164.81,8.0,148.77,167.13,1.35,176.2804,7.931049,98.86591
60.7,7.97,114.62,136.35,-1.49,83.29239,7.944308,90.47629
43.36,8.0,67.52,207.35,-5.0,36.80953,7.896579,50.06142
162.44,7.97,72.56,330.86,-4.94,154.3965,7.940776,91.05733
281.91,7.97,77.62,351.73,-4.71,278.1719,7.85759,99.37704
300.0,7.98,97.25,232.74,-1.64,272.0467,7.851545,79.95784
187.69,7.98,276.72,173.99,4.69,229.6094,7.785916,194.4194
266.88,8.0,61.26,46.14,7.42,280.4438,7.866179,209.4838
300.0,7.97,162.55,357.13,-3.58,298.8587,7.869046,188.315
238.61,7.97,256.74,125.09,-5.07,255.576,7.896894,243.3393
253.35,7.97,140.63,248.72,-4.96,234.023,7.910516,134.4766
268.46,8.0,21.75,186.54,-2.45,261.314,7.904634,-0.4464985
175.08,7.97,0.0,359.52,-2.12,175.1416,7.920662,30.67986
119.46,7.98,42.26,158.64,-4.53,126.8242,7.81319,24.03896
141.02,7.98,166.76,291.85,-1.08,106.1371,7.950041,166.2619
190.86,7.98,256.84,157.43,1.88,225.5079,7.824111,231.9934
188.1,7.99,147.16,321.06,2.5,166.4854,7.867967,219.6408
161.57,8.0,41.28,229.18,0.16,135.6838,7.847346,16.84307
189.73,8.0,75.09,202.4,-0.12,181.6179,7.883157,33.1741
87.35,7.98,113.25,315.01,-2.86,66.43448,7.901257,134.1569
0.0,7.99,164.87,126.71,-1.98,25.77874,7.917536,146.9969
94.53,7.98,226.09,276.26,1.47,34.3032,7.852792,240.9042
211.76,8.0,251.78,152.87,2.4,204.9426,7.877827,185.483
261.0,7.97,206.75,203.36,-0.37,260.5749,7.93551,173.3797
164.29,7.97,154.27,276.16,-3.14,140.3492,7.843142,157.0177
68.17,8.0,102.11,28.64,-5.0,76.36339,7.926946,118.4365
79.18,7.99,38.33,60.36,-3.51,103.0715,7.945184,44.24018
55.68,7.97,158.41,231.32,-4.98,39.85812,7.930572,145.3893
174.73,7.99,149.79,272.54,-4.94,151.5006,7.91886,151.9566
283.84,7.98,141.9,159.93,-5.05,296.8467,7.89902,122.5772
296.37,7.99,223.96,331.42,-4.94,287.4716,7.925744,243.7896
275.9,7.98,300.0,111.8,-5.07,295.6188,7.878821,290.7514
82.6,7.99,300.0,185.5,-5.03,73.85337,7.902772,280.5351
161.08,7.98,300.0,146.42,-3.53,174.652,7.891067,279.1342
249.6,7.97,241.18,72.9,-0.44,284.324,7.883534,252.1697
300.0,7.99,213.11,211.86,1.14,260.2069,7.91934,175.6514
300.0,7.98,269.35,197.09,-1.69,290.5198,7.864689,237.4712
255.91,7.99,184.51,172.88,-4.28,259.5758,7.841215,163.5392
168.04,8.0,103.1,255.3,-1.12,140.7876,7.9315,94.8149
81.65,7.98,42.65,69.51,-2.49,108.2294,7.949716,52.81074
102.98,7.99,142.87,173.36,-5.04,102.7457,7.90745,119.7076
160.38,7.98,236.36,142.45,-5.06,174.0777,7.874413,222.4743
232.14,7.99,249.03,69.08,-5.04,251.5131,7.890847,255.4597
200.35,8.0,133.7,192.49,-5.02,197.6111,7.90638,115.7145
171.3,7.99,28.29,304.97,-4.93,155.6582,7.934727,39.48139
112.61,7.97,68.17,223.58,-4.98,98.64001,7.914287,53.90169
136.58,7.99,184.96,100.92,-2.25,165.2641,7.90248,176.2588
190.68,8.0,216.04,64.1,1.88,252.11,7.811433,239.0005
117.93,7.97,133.65,310.99,-0.84,92.4361,7.882194,161.7038
38.95,7.97,44.21,188.22,-4.0,36.57787,7.884641,24.78164
0.0,7.99,23.02,165.99,-5.05,4.651929,7.888205,3.623179
8.23,7.99,0.0,40.3,-5.01,22.82661,7.905712,14.2015
72.48,8.0,38.22,19.98,-1.91,75.95518,7.952272,72.40254
125.95,7.97,0.0,58.84,-5.03,143.1505,7.911207,10.29035
53.41,7.98,69.88,52.39,-5.03,67.88477,7.888669,85.19524
31.08,7.99,74.34,43.82,-5.02,51.66655,7.899001,86.36257
144.1,7.98,37.2,167.1,-2.48,151.8693,7.857819,7.201178
263.28,7.98,228.61,174.97,1.67,263.8699,7.938406,164.927
201.39,7.98,300.0,106.98,4.96,275.7831,7.76404,297.5014
300.0,7.97,300.0,243.0,10.04,193.2536,7.81714,195.4794
299.77,7.99,235.49,290.74,6.47,235.4939,7.783729,177.7583
300.0,7.99,184.66,288.18,3.64,228.2849,7.851853,199.5932
214.38,7.99,44.57,35.06,1.0,250.6828,7.857981,85.03457
121.4,8.0,28.93,32.88,4.33,154.8562,7.926779,78.21691
102.44,7.99,146.34,270.36,7.46,14.74014,7.802404,164.4589
83.44,7.98,274.36,157.01,9.95,100.8205,7.75592,112.2211
174.53,7.99,253.31,157.48,8.4,107.4898,7.773458,162.9965
214.66,7.97,26.84,275.16,0.3,176.6963,7.922968,28.60842
173.26,7.99,0.0,11.39,-2.56,176.9188,7.841323,29.44256
109.45,7.98,42.01,287.33,-4.94,93.24837,7.928875,56.49987
177.87,7.97,134.78,66.94,-3.5,202.6995,7.93245,145.6057
264.2,7.97,225.17,261.43,-0.08,224.3906,7.866356,196.8408
224.59,7.99,178.24,129.96,2.9,272.8263,7.903,124.8013
108.8,8.0,208.9,6.81,6.07,164.6736,7.774542,283.1621
246.57,7.98,240.46,275.23,7.75,193.2095,7.709342,180.7746
194.23,7.98,121.76,48.92,9.98,223.8674,7.717156,289.1071
62.43,7.99,127.97,115.04,3.01,127.8818,7.900842,97.83808
47.74,7.98,237.14,228.37,0.26,18.05831,7.928074,199.8908
51.34,7.98,228.39,322.35,-4.94,40.77874,7.950019,239.8165
131.67,7.99,139.69,199.32,-5.01,126.6476,7.908378,118.3971
212.05,7.99,50.93,76.05,-5.05,231.5814,7.906601,56.24661
296.82,8.0,0.0,279.6,-3.4,270.889,7.843469,3.415438
105.52,7.98,24.56,102.47,9.29,249.8228,7.703959,28.62938
111.95,7.98,0.0,323.95,8.02,32.84834,7.809513,105.3399
178.6,7.98,48.96,0.68,5.42,128.8359,7.907943,116.8416
252.88,7.98,129.07,329.77,2.64,226.6392,7.892074,180.5884
204.02,7.97,281.92,108.8,-3.12,230.0556,7.954337,273.4837
119.42,7.97,245.9,30.63,-4.95,133.0979,7.914715,266.4314
66.12,7.99,138.88,349.29,-1.91,59.5414,7.891691,174.6266
12.92,7.99,32.06,112.08,1.18,65.20899,7.836781,31.06663
0.48,7.99,45.24,38.71,4.27,2.913947,7.850914,104.9677
109.92,7.99,93.58,237.48,7.5,34.97834,7.892653,1.656674
215.72,7.98,120.91,288.63,5.22,127.9314,7.858422,171.6919
300.0,7.99,136.15,224.01,2.37,264.0033,7.840372,90.77672
255.04,7.98,66.16,78.55,-0.34,296.6547,7.904363,84.37994
184.43,8.0,145.7,224.76,-2.76,164.4353,7.943677,126.776
103.65,7.97,246.67,256.03,0.56,67.95258,7.935426,236.3349
38.5,7.98,201.01,105.79,-1.14,68.92487,7.932398,204.4182
108.69,7.98,116.76,218.64,-4.05,92.96872,7.833914,99.01531
178.86,7.97,32.54,331.49,-5.0,172.9258,7.905101,48.24352
122.69,7.97,106.2,80.8,0.68,165.3282,7.894525,111.0315
109.15,7.98,225.58,204.32,3.67,101.1931,7.872104,144.452
94.92,7.97,226.9,113.98,3.99,160.2948,7.914528,233.2087
169.95,7.97,132.59,237.98,4.94,112.0331,7.818631,86.9912
244.2,7.97,39.26,0.78,8.1,184.8641,7.757646,153.8084
268.6,8.0,172.91,236.62,3.28,215.2721,7.858908,107.8976
273.96,7.97,266.6,251.62,0.45,235.6532,7.877512,252.3229
165.65,7.98,274.47,224.77,-2.36,144.862,7.881143,253.6623
46.76,7.99,269.18,257.23,-5.08,30.85836,7.898853,263.3379
106.94,7.99,154.86,57.55,-4.92,123.6491,7.926704,166.0859
213.37,7.98,99.86,56.94,-4.16,227.0781,7.856302,116.477
300.0,7.99,39.44,223.29,-1.99,277.364,7.910604,16.58152
223.58,7.99,24.62,289.42,-5.05,204.8461,7.902915,31.25822
144.06,7.97,113.83,166.39,-5.01,150.1453,7.894825,89.9726
70.84,7.97,195.98,136.08,-4.97,83.48856,7.933469,182.0484
31.99,7.97,123.87,220.24,-5.07,18.17218,7.871416,108.4345
114.57,7.97,37.25,282.29,-5.07,91.62643,7.885798,46.57701
204.06,7.98,16.07,128.37,-4.96,220.5091,7.919707,3.257966
299.29,7.97,87.03,235.22,-4.82,278.8404,7.803724,72.85925
300.0,8.0,183.24,206.54,-1.72,282.6852,7.876695,154.5216
195.89,7.97,94.24,45.43,-2.86,224.254,7.841377,112.1359
86.1,8.0,91.26,292.57,-4.29,63.80454,7.87247,99.88693
0.0,7.98,68.21,104.84,-1.1,32.99323,7.877512,57.30596
56.41,7.99,0.0,351.13,2.18,25.15394,7.856725,42.36655
85.16,8.0,88.44,96.93,2.99,141.264,7.890924,90.44012
189.86,7.97,121.81,210.01,0.03,167.3295,7.889837,81.36539
165.39,7.98,63.77,290.37,6.44,93.79366,7.729701,67.57726
49.6,7.99,36.63,52.68,5.05,114.336,7.851378,118.1165
65.61,7.97,139.12,66.62,-0.6,92.9427,7.913554,154.5575
143.2,7.99,216.87,179.59,-0.47,143.6062,7.900522,176.4875
181.29,7.98,300.0,132.08,5.99,251.6413,7.895895,255.965
248.54,7.98,244.05,146.4,9.3,253.6559,7.799678,157.0289
297.28,7.99,162.74,231.2,1.21,250.2319,7.914224,123.6563
217.17,7.97,195.22,228.87,-1.61,197.6486,7.935692,172.418
101.07,7.98,168.24,106.21,0.58,148.2999,7.915896,152.115
146.24,7.99,170.11,66.3,4.97,184.3684,7.855475,219.2915
222.52,7.97,248.64,178.91,2.05,231.08,7.838942,178.0329
174.27,7.99,181.37,248.24,-3.63,155.5871,7.908192,171.5996
72.56,7.99,141.37,0.6,-4.97,71.04432,7.910199,161.1074
0.87,7.99,75.51,42.33,-4.93,14.93875,7.94652,91.24495
63.04,7.97,28.9,236.5,-1.51,28.55372,7.920718,15.57914
41.15,8.0,128.34,107.83,-4.18,63.08642,7.916723,121.2253
13.99,7.97,245.27,344.32,-3.7,9.829313,7.931792,265.6683
61.19,7.99,300.0,238.28,-0.72,24.57802,7.925588,291.9406
30.26,8.0,300.0,148.09,0.92,44.01534,7.896045,253.8446
78.43,7.98,253.61,43.43,1.25,115.4278,7.845458,290.9561
106.44,7.97,127.48,270.1,4.43,34.34315,7.900343,170.1962
181.71,7.97,275.17,51.51,5.98,286.1571,7.82941,283.8386
