x_pos,y_pos,z_pos,x_angle,y_angle,x_target,y_target,z_target
200.0,5.99,200.0,24.59,-5.39,208.4686,5.915077,217.6412
200.0,6.01,200.0,195.35,-4.62,195.1466,6.156816,181.0567
200.0,6.01,200.0,67.16,-5.03,219.1749,5.865378,208.3234
200.0,5.98,200.0,194.6,10.15,169.6198,7.700831,84.26404
200.0,6.01,200.0,320.96,-5.05,186.6786,5.871448,215.916
200.0,5.99,200.0,200.02,10.02,157.815,6.78768,84.08652
200.0,6.0,200.0,290.08,-5.01,180.6584,5.879399,207.4479
200.0,6.01,200.0,274.32,-2.11,170.0702,5.949852,202.2761
200.0,6.01,200.0,228.91,-4.96,185.5564,6.053569,186.9746
200.0,6.0,200.0,204.57,-4.79,192.2096,6.120318,182.1629
200.0,5.99,200.0,123.28,-4.98,217.5602,5.897819,188.8249
200.0,6.01,200.0,259.57,10.05,83.27505,7.702133,178.886
200.0,5.98,200.0,285.71,-5.05,180.4532,5.854335,205.4824
200.0,6.0,200.0,46.46,9.68,289.89,5.818751,285.2656
200.0,6.0,200.0,279.76,-1.71,168.293,5.883454,205.6561
200.0,5.99,200.0,257.35,-4.95,179.9326,5.894597,195.1466
200.0,6.0,200.0,356.84,-5.4,198.7318,5.898491,219.7876
200.0,6.0,200.0,113.78,4.79,265.8019,6.715101,171.2998
200.0,5.98,200.0,77.79,-5.38,218.8542,5.922112,203.8565
200.0,6.01,199.99,171.88,9.95,218.3715,5.689469,74.10593
200.0,5.99,199.99,301.57,-4.69,181.8067,5.835688,211.327
200.0,5.98,200.0,250.65,10.13,83.64525,7.006689,159.2026
200.0,5.99,199.99,297.46,-4.96,181.7081,5.902896,209.8762
200.0,5.98,199.99,272.94,-5.02,179.0554,5.864976,201.2026
200.0,5.98,199.99,29.34,3.84,234.269,5.840436,261.2323
200.0,5.99,199.99,203.86,-4.95,192.7996,6.205136,182.9249
200.0,5.99,199.99,2.99,-5.44,201.3742,5.877959,219.561
200.0,5.98,199.99,126.31,-5.29,215.3877,5.960868,188.4867
200.0,5.99,199.99,162.53,10.06,238.2364,5.686739,77.2985
200.0,6.0,199.99,82.25,-5.39,219.1327,5.908633,202.3416
200.0,6.0,199.99,296.39,9.82,89.02083,6.109187,255.6179
200.0,5.98,199.99,183.07,-4.95,198.6689,6.183583,181.4758
200.0,5.98,199.99,205.08,-4.25,190.8813,6.141803,181.3073
200.0,5.99,199.99,333.03,-4.87,190.4332,5.93117,218.1193
199.99,5.99,199.99,211.42,-4.79,189.59,6.118337,183.0545
200.0,5.98,199.99,50.39,9.75,296.2783,5.695835,279.6895
199.99,6.0,199.99,37.33,-5.04,212.7897,5.851407,216.1719
199.99,5.99,199.99,258.05,10.05,82.98814,7.50477,174.8728
199.99,5.99,199.99,356.14,-5.02,198.963,5.873989,220.5344
199.99,6.0,199.99,122.92,-4.81,217.6428,5.93734,188.6296
199.99,6.01,199.99,23.72,-5.05,208.1855,5.853634,218.5642
199.99,6.01,199.99,261.03,4.0,133.4595,6.325576,189.2236
199.99,5.99,199.99,274.56,0.5,156.2543,5.881569,203.4884
199.99,5.98,199.99,343.44,-5.05,194.4585,5.85737,219.8784
199.99,5.99,199.99,149.5,-4.85,210.2466,6.072104,183.145
199.99,5.98,199.99,317.92,9.74,123.8493,7.888003,284.975
199.99,6.01,199.99,146.72,10.33,271.9854,5.779123,91.09767
199.99,6.01,199.99,168.11,10.36,227.1929,5.86155,72.43051
199.99,6.01,199.99,248.22,10.02,85.60127,6.765838,154.0621
199.99,5.99,199.99,289.06,9.99,83.70752,6.708952,240.5523
199.99,5.98,199.99,349.73,-4.98,195.9823,5.881197,220.3807
199.99,5.98,199.99,101.09,-5.0,219.9892,5.899681,196.2417
199.99,6.01,199.99,245.7,10.02,86.99914,6.550203,148.6343
199.99,5.98,199.99,223.47,-4.68,185.4885,6.018178,184.8286
199.99,6.0,199.99,295.03,-5.17,181.6402,5.824709,208.7667
199.99,5.99,200.0,325.92,-5.04,188.1039,5.881899,216.9871
199.99,5.99,199.99,287.37,-5.02,180.2585,5.885898,205.8247
199.99,6.01,199.99,233.49,10.05,97.53749,5.909303,123.869
199.99,5.98,199.99,305.41,-4.71,182.6142,5.850945,212.5766
199.99,6.01,199.99,143.29,-4.96,211.5685,6.041219,183.9922
200.0,5.99,199.99,353.88,-5.36,198.1984,5.920921,219.6357
200.0,6.01,199.99,254.94,10.02,84.56332,7.425703,169.2274
200.0,5.98,199.99,313.7,10.03,115.235,7.88131,281.5006
200.0,5.98,199.99,206.47,10.38,142.0114,5.884801,83.35173
200.0,6.0,199.99,218.97,10.29,117.4151,5.688084,98.46268
200.0,5.99,199.99,208.79,-1.72,186.9774,6.472641,176.8426
200.0,5.98,199.99,326.06,-5.04,188.5137,5.888293,216.7804
200.0,5.99,199.99,51.84,9.97,299.9407,5.704178,278.9753
200.0,6.0,199.99,102.67,-4.96,219.8528,5.913152,195.2491
200.0,5.99,199.99,190.27,-4.95,196.7776,6.198143,182.2142
200.0,6.01,199.99,233.81,8.81,106.7191,5.841664,132.0395
200.0,5.99,199.99,127.97,10.04,300.7748,5.863192,121.6999
200.0,6.0,199.99,245.89,10.38,84.19147,6.626261,147.9485
200.0,6.01,199.99,276.23,-5.0,179.17,5.869948,202.0702
200.0,5.99,199.99,343.81,-5.0,194.3331,5.887519,219.4831
200.0,6.0,199.99,236.06,-4.54,182.5094,6.063241,188.4829
200.0,5.99,199.99,66.49,-5.38,217.6763,5.914289,207.5138
200.0,6.01,199.99,180.56,-4.99,199.7531,6.196558,181.2309
200.0,5.98,199.99,55.19,-5.06,216.7171,5.859265,212.0262
200.0,5.98,199.99,256.14,10.05,83.66832,7.514188,170.9993
200.0,6.0,199.99,43.52,-5.04,214.1989,5.869708,214.606
200.0,5.98,199.99,346.49,-4.96,195.5351,5.916001,220.032
200.0,6.01,199.99,147.91,9.98,267.54,5.753053,91.70805
200.0,5.99,199.99,144.78,9.82,272.7183,5.86342,97.67261
200.0,6.01,199.99,161.12,-4.95,206.3885,6.064869,181.8425
200.0,6.0,199.99,356.88,-5.4,199.1614,5.9059,219.2155
200.0,6.0,199.99,200.83,-4.93,193.782,6.209169,182.851
200.0,6.0,199.99,312.6,9.96,113.8511,7.739295,279.6577
200.0,5.99,199.99,65.33,6.76,287.5737,5.849706,239.8265
200.0,6.0,199.99,331.13,-2.24,186.0319,5.863423,226.0447
200.0,5.98,199.99,20.71,6.88,234.4082,5.836785,291.3516
200.0,5.99,199.99,231.68,4.14,153.0222,7.394288,162.5946
200.0,6.0,199.99,67.75,-5.15,218.9047,5.841453,208.0755
200.0,6.01,199.98,121.38,-4.97,217.4863,5.880866,189.5465
200.0,6.0,199.98,183.33,-4.95,198.9845,6.208832,181.943
200.0,5.99,199.98,160.27,-4.95,206.3147,6.18742,182.9773
200.0,6.01,199.98,292.19,-5.01,180.7511,5.89376,208.1194
200.0,5.98,199.98,272.84,-5.0,179.0634,5.88647,200.8648
200.0,6.0,199.98,320.59,10.03,125.3442,7.887778,290.4338
200.0,6.01,199.98,296.79,-5.02,181.6801,5.874043,208.9702
200.0,6.0,199.98,14.16,-5.36,205.105,5.918531,218.7712
200.0,6.01,199.98,319.89,9.7,126.2331,7.800878,287.7587
200.0,5.98,199.98,236.33,10.22,93.28853,6.025605,129.134
200.0,5.99,199.98,223.04,-4.71,186.3913,6.128393,185.4962
200.0,6.0,199.98,172.16,-4.61,202.304,6.173722,180.6069
200.0,5.99,199.98,259.43,10.02,83.74108,7.647484,178.3803
200.0,5.99,199.98,286.99,-4.64,178.8522,5.873316,206.4344
200.0,6.01,199.98,98.51,-5.08,220.5295,5.877242,197.2448
200.0,6.0,199.98,202.52,-1.72,190.1408,6.48906,175.9556
200.0,5.99,199.98,168.44,6.76,219.602,5.837833,105.5461
200.0,6.0,199.98,25.35,-5.36,208.5708,5.931624,217.3392
200.0,6.0,199.98,198.01,-4.98,194.232,6.206708,182.8183
200.0,6.01,199.98,296.79,10.04,87.2068,6.138677,257.2883
200.0,6.0,199.98,263.39,10.01,81.866,7.633422,186.2245
200.0,5.98,199.98,180.86,10.4,197.7434,5.691951,68.10136
200.0,6.01,199.98,176.14,10.0,208.5383,5.806955,72.50254
200.0,5.98,199.98,201.82,-4.94,193.4443,6.20579,183.072
200.0,5.99,199.98,266.0,-4.92,179.0571,5.917227,198.5179
200.0,5.98,199.98,180.44,10.4,198.6329,5.676686,68.29163
200.0,5.99,199.98,230.13,10.04,102.0935,5.857773,117.9874
200.0,6.0,199.98,331.74,-5.04,190.1643,5.865845,217.8343
200.0,5.98,199.98,34.93,-5.03,212.0757,5.857434,216.6466
200.0,5.98,199.98,4.19,-5.05,201.8532,5.879083,220.6999
200.0,6.01,199.98,110.07,-5.05,219.4399,5.858061,192.5393
200.0,5.99,199.98,139.49,10.29,285.1006,5.699952,100.4453
200.0,6.01,199.98,141.7,-5.03,212.0938,6.039872,184.2971
200.0,6.01,199.98,204.63,7.62,160.2087,7.281178,112.338
200.0,6.01,199.98,328.92,9.96,139.4679,7.743333,300.3109
200.0,6.0,199.98,64.57,-5.03,218.9603,5.855455,209.0129
200.0,5.99,199.98,300.11,1.14,158.2115,5.853894,224.3654
200.0,5.99,199.98,146.25,-1.67,215.4338,6.391665,176.8949
200.0,6.0,199.98,321.17,9.69,128.0728,7.819397,289.0383
200.0,6.0,199.98,305.1,-4.71,181.8644,5.85601,212.5753
200.0,5.99,199.98,334.94,-5.04,190.9709,5.857358,218.872
200.01,6.0,199.98,29.93,-5.03,210.4563,5.873748,218.1902
200.01,5.99,199.98,234.67,-1.85,176.6754,6.178566,183.8298
200.01,5.98,199.98,284.07,-4.95,179.9012,5.900356,205.3544
200.0,6.01,199.98,276.03,-5.0,179.1416,5.895103,202.2759
200.01,5.99,199.98,176.35,10.4,208.1951,5.697507,68.87447
200.0,6.01,199.98,211.73,10.03,133.0751,5.871253,91.26988
200.01,5.98,199.98,201.08,-4.95,193.6703,6.216652,182.9823
200.01,5.98,199.98,135.91,-4.96,213.5464,6.046926,185.5961
200.01,6.01,199.98,181.95,10.05,195.3217,5.667014,71.38351
200.01,6.0,199.99,41.77,-5.04,213.4683,5.87016,215.5542
200.01,6.0,199.98,131.35,-5.26,214.507,5.962102,187.3857
200.01,5.99,199.98,152.68,9.98,258.192,5.731425,86.93167
200.01,6.01,199.99,232.91,-4.96,184.331,6.060247,187.8789
200.01,6.0,199.99,334.17,-5.04,191.1151,5.874196,218.9146
200.01,5.98,199.99,234.78,-4.57,182.7896,6.038876,188.1469
200.01,6.0,199.99,106.97,-4.99,220.0764,5.890183,194.0763
200.01,5.99,199.99,253.05,-1.84,171.7728,6.068212,191.6681
200.01,5.98,199.99,285.21,9.94,82.66927,6.822345,232.3518
200.01,5.98,199.99,263.24,-4.61,178.609,5.861279,197.7162
200.01,5.99,199.99,241.81,-4.77,181.5272,5.961266,190.0331
