x_pos,y_pos,z_pos,x_angle,y_angle,x_target,y_target,z_target
59.35,7.98,27.23,38.42,-3.12,76.49961,7.712236,49.04375
100.0,6.0,100.0,328.39,-4.79,89.21867,5.930533,117.9432
100.0,5.98,100.0,2.52,1.6,102.1387,6.099125,150.1176
100.0,6.0,99.99,347.59,4.54,85.93549,7.190246,164.1476
100.0,5.99,99.99,219.55,10.05,22.18131,7.063329,6.314664
100.0,5.98,100.0,170.47,5.0,112.8556,5.874979,21.32094
100.0,5.97,100.0,168.34,4.73,115.3617,5.842818,23.84639
100.0,6.0,100.0,132.06,7.64,173.5179,6.751969,33.20236
100.0,5.97,100.0,76.18,7.03,196.3999,5.715229,123.5091
100.0,5.99,100.0,86.71,10.0,227.0163,5.786868,107.0413
100.01,5.99,100.0,101.62,10.01,224.5921,5.820468,74.07157
100.0,6.0,100.0,125.1,5.24,163.1889,6.504469,55.17145
100.0,5.98,100.0,159.12,5.81,131.0166,5.826812,17.95104
100.0,5.97,100.01,154.86,4.21,130.8724,5.815122,33.47423
100.0,5.97,100.01,144.21,-1.4,119.0897,5.919234,72.93788
100.0,6.0,100.01,176.21,-4.86,101.1132,5.920797,79.15105
100.0,5.99,100.01,210.35,-2.28,85.86099,6.123475,76.13953
100.0,5.99,100.01,248.75,0.36,62.61149,6.268378,85.49155
100.01,5.99,100.01,221.01,7.05,41.1308,7.382952,32.16428
100.01,5.98,100.01,344.81,9.94,68.91291,7.682615,213.2857
100.01,5.98,100.01,83.41,-4.69,121.3427,5.832134,102.3015
100.01,5.97,100.01,34.33,-2.12,116.5392,5.928005,124.2141
100.01,5.99,100.01,349.51,-0.26,93.20582,6.110594,136.5576
100.0,5.98,100.01,70.6,-5.02,119.397,5.878516,106.5122
100.0,5.98,100.01,111.14,-4.98,119.2465,5.888592,92.19589
100.0,5.99,100.0,145.69,-4.95,111.6201,5.906408,82.59386
100.0,6.0,100.01,192.64,-3.07,94.42001,6.017908,75.10881
100.0,6.0,100.01,238.24,-4.97,82.45375,5.879668,88.80042
100.01,6.0,100.01,289.46,-5.02,81.50169,6.007698,106.1874
100.01,5.99,100.01,313.33,-4.51,84.96776,6.054511,113.8439
100.01,5.97,100.01,247.16,0.63,61.40417,6.204573,83.38902
100.01,5.98,100.01,223.69,-3.35,82.75426,5.911801,81.50373
100.01,5.98,100.01,283.5,-3.95,78.85518,6.093234,104.7602
100.01,6.0,100.01,319.78,-5.05,87.21809,6.004546,114.6351
100.01,6.0,100.01,289.91,-5.02,81.50576,6.010173,106.3497
100.01,5.99,100.01,262.17,-0.46,67.06336,6.422767,95.24088
100.01,5.98,100.01,321.96,6.95,39.18162,5.777289,177.2539
100.01,6.01,100.01,352.23,9.14,84.82008,7.325108,209.842
100.01,6.0,100.01,39.17,8.62,170.8491,6.108753,186.8618
100.01,5.98,100.01,60.59,2.76,147.2641,6.634257,126.2997
100.01,5.99,100.01,98.99,0.14,141.3733,5.879257,93.1021
100.01,5.99,100.01,120.38,-4.97,117.8472,5.900242,89.20703
100.01,5.98,100.01,81.96,-5.01,120.4863,5.876894,102.5352
100.01,5.97,100.01,28.6,-4.79,110.0142,5.942148,117.804
100.01,5.98,100.01,45.67,-5.05,114.895,5.864986,114.0924
100.01,5.99,100.01,35.01,-5.05,111.9954,5.84227,116.5862
100.0,5.97,100.0,335.26,1.08,83.08913,6.631043,136.837
100.0,5.98,100.0,305.38,3.76,57.92856,7.747872,129.9216
100.01,5.98,100.0,311.78,-2.37,80.70645,6.19922,117.3671
100.01,5.99,100.0,322.32,2.7,71.9821,7.341561,136.7693
100.01,6.0,100.0,200.29,7.39,69.17728,7.888597,16.42174
100.01,5.97,100.01,230.16,9.51,5.535436,5.674376,21.43282
100.01,5.97,100.01,181.07,4.46,98.84888,7.122445,35.03151
100.01,6.01,100.01,163.99,-0.87,109.7434,5.964129,66.44537
100.01,5.97,100.01,104.24,-4.18,121.9114,5.864549,94.55575
100.01,5.98,100.01,61.54,-4.23,119.8561,5.84871,111.1061
100.01,6.0,100.01,18.86,-5.06,106.3575,5.841341,119.6423
100.01,6.0,100.01,355.39,-5.06,98.05339,5.845595,120.7607
100.0,5.97,100.01,68.34,-5.02,118.9974,5.866775,107.9043
100.0,6.0,100.01,51.66,-2.37,122.2903,5.927389,118.0335
100.0,6.0,100.01,21.8,1.88,118.7764,6.188707,147.6126
100.0,6.0,100.01,68.75,-0.76,133.9271,5.904757,113.5392
100.0,5.98,100.0,87.95,-3.67,124.1899,5.921041,101.1549
100.0,5.98,100.0,130.63,3.31,149.1194,5.993027,58.23206
99.99,6.0,100.01,128.51,9.97,198.3399,6.194748,21.97164
99.99,5.99,100.0,119.97,10.03,210.727,5.861128,36.34829
99.99,5.98,100.0,102.89,7.35,199.4405,5.866484,77.31364
99.99,6.0,100.0,128.49,0.97,136.7048,5.960555,70.99844
99.98,5.98,100.01,90.08,10.0,227.7084,5.786302,100.0294
99.98,6.0,100.01,83.54,9.99,226.9114,5.748147,114.5238
99.98,5.99,100.01,107.01,9.75,220.0817,5.737782,63.57646
99.98,5.97,100.01,168.89,3.66,113.3107,5.936838,33.80089
99.97,5.99,100.01,151.82,4.72,136.9547,5.854618,31.67608
99.97,5.99,100.01,115.49,0.69,141.253,5.900421,80.56315
99.97,5.98,100.01,100.56,-3.86,123.9405,5.847722,95.54791
99.97,5.97,100.01,57.9,-5.03,117.8136,5.862026,111.0294
99.97,6.0,100.01,25.88,-5.06,109.2937,5.8482,118.7588
99.97,6.0,100.01,64.01,-5.03,118.8321,5.85297,109.2239
99.97,5.98,100.0,115.22,0.63,141.2957,5.836246,80.84816
99.96,6.0,100.01,153.64,4.39,133.258,5.879244,33.59237
99.96,5.99,100.01,138.69,8.92,175.1592,6.510239,14.9584
99.96,5.98,100.01,226.58,7.39,28.0775,6.342946,31.72191
99.96,5.98,100.01,201.09,7.93,65.73087,7.770289,10.60836
99.96,5.98,100.01,230.96,4.17,45.17951,6.094429,55.4754
99.97,5.99,100.01,205.35,0.99,84.6394,6.991373,67.351
99.97,5.98,100.02,179.75,2.06,100.4202,6.940975,54.90492
99.97,6.0,100.02,162.67,-4.87,106.2517,5.90902,80.62027
99.97,5.99,100.02,181.89,-4.13,99.31744,5.895396,77.45646
99.97,6.0,100.02,205.36,-4.94,91.10442,5.890308,81.71891
99.97,6.0,100.02,230.83,-0.94,73.36639,6.03672,78.79055
99.97,6.0,100.02,205.22,-4.13,90.61445,6.021814,80.66241
99.97,6.0,100.02,209.49,-3.59,87.92355,5.934559,79.39421
99.97,5.99,100.02,222.29,-4.95,85.82492,5.907283,85.0107
99.97,5.98,100.02,254.28,-4.98,79.86864,5.888697,94.71342
99.97,5.99,100.02,226.54,-4.96,84.77447,5.903663,86.11802
99.97,5.98,100.02,230.81,-4.96,83.90395,5.898652,87.33262
99.97,6.0,100.02,211.6,-4.94,89.16262,5.887187,82.7961
99.98,5.97,100.02,264.95,-1.26,70.45869,6.348054,97.77448
99.98,6.0,100.02,247.89,1.43,57.94757,6.432204,83.32209
99.98,5.97,100.03,200.95,4.13,80.032,7.787172,48.69529
99.98,6.0,100.03,232.96,9.71,0.6145437,5.856842,25.53122
99.98,5.98,100.03,299.13,4.63,33.02757,5.881113,137.593
99.98,5.98,100.03,264.98,4.67,36.02288,7.477107,94.78447
99.98,5.97,100.03,224.44,0.18,72.88741,6.257684,72.79377
99.98,5.99,100.03,175.31,-4.94,101.7049,5.909929,79.79645
99.98,5.98,100.03,173.18,-4.4,102.4737,5.939119,78.74265
99.98,5.98,100.03,160.35,-0.14,113.2555,5.928448,62.9189
99.98,5.98,100.03,92.16,-3.42,124.9908,5.890369,99.39596
99.98,5.99,100.03,68.29,1.64,144.956,6.278393,118.2553
99.98,5.99,100.03,4.25,-4.8,101.1804,5.953455,120.6989
99.98,6.0,100.03,327.98,-5.06,89.284,5.99651,116.5906
99.98,6.01,100.03,349.31,-0.53,93.09647,6.16328,134.6962
99.98,5.99,100.03,10.65,3.21,110.4973,6.56592,157.6737
99.98,5.98,100.02,353.56,9.94,85.98559,6.811608,221.0862
99.98,5.97,100.02,36.24,4.88,138.2733,7.584269,152.5231
99.98,6.0,100.02,12.75,0.33,108.9167,5.988078,140.9038
99.98,5.98,100.02,353.53,-1.0,95.79581,6.02442,133.9047
99.98,5.97,100.02,293.79,-0.43,71.46589,6.660897,112.3502
99.98,5.99,100.02,351.4,-2.87,95.71206,5.991676,125.9844
99.98,5.99,100.01,42.62,2.49,136.3908,6.387048,139.9672
99.98,5.98,100.01,36.22,5.41,140.8346,7.715299,156.3401
99.98,5.99,100.01,29.82,1.41,123.8618,6.082939,142.2369
99.97,5.99,100.01,110.97,-1.18,131.557,5.928334,87.94692
99.97,5.97,100.01,100.31,-0.39,137.6718,5.884172,93.23309
99.97,5.98,100.01,46.96,-4.45,115.5517,5.918625,114.8908
99.97,5.99,100.01,17.05,-4.53,106.0274,5.901166,120.9031
99.97,5.97,100.01,340.76,-0.53,88.38155,6.28464,132.3187
99.97,5.99,100.01,327.95,4.81,64.98657,7.525666,155.3108
99.97,5.99,100.01,357.8,9.61,94.93499,5.89624,222.9732
99.97,5.99,100.01,46.87,9.96,191.8521,5.938931,186.2528
99.97,5.99,100.01,74.62,9.98,222.5515,5.760257,133.6177
99.97,5.98,100.01,127.96,6.31,167.7324,6.741806,46.70728
99.97,6.0,100.01,142.89,9.78,174.0179,6.251791,1.565329
99.97,6.0,100.01,164.23,6.06,124.2617,5.841416,13.37281
99.97,5.99,100.01,172.76,3.4,107.6533,6.369095,38.12038
99.97,6.0,100.01,138.61,-1.42,121.6274,5.903471,74.91779
99.97,5.99,100.01,136.47,5.25,155.6658,6.068457,41.02631
99.97,5.99,100.01,174.89,-1.13,102.8558,6.171401,67.88052
99.97,5.97,100.02,155.82,-2.79,111.0546,5.87758,74.67922
99.97,6.0,100.02,115.2,1.72,146.9669,5.931676,77.50428
99.97,5.97,100.02,72.51,-1.53,131.528,5.842692,109.588
99.97,5.98,100.02,119.45,-4.97,117.8884,5.89253,89.50804
99.96,5.98,100.02,102.38,-4.99,120.1827,5.888991,95.23241
99.96,5.98,100.02,115.23,-1.24,131.0074,5.892749,85.13277
99.96,6.0,100.02,136.62,-4.95,114.239,5.881035,84.66895
99.96,6.01,100.02,140.89,-4.95,113.0805,5.890893,83.65559
99.96,6.0,100.02,138.75,-1.75,121.0181,5.848322,75.67517
99.96,5.99,100.02,168.63,-4.94,104.1459,5.917149,79.45027
99.96,5.99,100.02,234.78,-4.96,83.13804,5.901738,87.78017
99.96,6.0,100.02,286.01,-5.02,81.24487,6.013868,105.0764
99.96,5.99,100.02,354.28,-5.06,97.92083,5.866985,120.2163
99.96,5.99,100.02,341.87,-5.06,93.54967,5.873163,119.2961
99.96,6.01,100.02,309.87,-5.04,84.90336,6.01052,112.2079
99.96,6.01,100.02,258.64,-4.99,79.69299,5.876803,95.61678
99.97,5.99,100.02,284.24,-1.28,72.21324,6.46733,106.7178
99.97,5.98,100.02,226.64,5.45,41.93152,6.49061,44.94693
99.97,6.0,100.02,222.37,10.05,14.18107,5.879978,5.580439
99.97,5.98,100.03,183.94,4.46,95.96626,7.377478,37.10423
99.97,5.99,100.03,211.68,0.45,81.18478,6.666406,69.10864
99.97,6.0,100.03,258.63,-4.99,81.16578,6.022471,96.23953
99.98,5.98,100.03,350.39,0.0,93.88262,6.149924,138.0532
99.98,5.97,100.03,346.2,-1.6,92.91811,6.05964,129.714
99.98,5.98,100.02,28.88,-5.06,110.2334,5.859607,117.8787
99.98,5.99,100.02,9.66,-2.4,105.0925,5.942309,128.0032
99.98,5.98,100.02,41.67,1.62,133.4106,6.11384,137.061
99.98,5.99,100.02,71.55,5.38,170.6334,7.131814,123.3146
99.97,6.0,100.02,122.76,7.1,178.1382,6.93119,49.46602
99.97,5.98,100.02,41.67,1.15,131.1512,6.11105,134.5156
99.97,5.98,100.02,64.73,5.16,163.2536,7.412416,129.5059
99.97,6.0,100.02,49.77,7.54,173.5911,7.115591,161.8437
99.97,5.99,100.02,7.11,3.25,107.6894,6.485542,159.218
99.97,5.98,100.02,51.93,-0.72,128.8924,5.936127,122.2198
99.97,5.99,100.02,326.57,6.73,48.53606,6.17337,178.3821
99.97,5.97,100.02,319.84,9.95,18.12004,5.663512,197.3044
99.97,5.98,100.02,13.18,9.94,129.0818,5.883525,222.8402
99.97,5.97,100.02,32.39,6.75,147.0844,7.22618,173.6312
99.97,5.99,100.02,92.16,5.74,186.5309,5.909863,96.51016
99.97,5.99,100.02,141.23,9.78,176.5402,6.504399,4.604023
99.97,6.0,100.02,119.76,7.62,187.3798,6.517189,49.83089
99.97,6.0,100.02,49.35,9.42,190.4052,6.406502,177.2474
99.97,5.99,100.02,2.37,7.27,104.1664,7.218756,192.7028
99.97,6.0,100.01,321.78,9.95,21.45697,5.656632,200.3113
99.98,5.99,100.01,195.89,8.73,71.31535,7.750539,-0.2727547
99.98,5.99,100.01,174.55,6.07,108.4898,5.865463,11.09928
