x_pos,y_pos,z_pos,x_angle,y_angle,x_target,y_target,z_target
199.7,7.98,84.14,108.91,2.45,256.456,7.84695,65.00495
100.0,7.98,100.01,226.18,-5.0,84.74549,7.923029,85.86826
100.0,7.98,100.01,15.28,2.3,115.354,7.841128,157.1587
100.0,7.99,100.01,225.21,10.0,7.808284,7.763841,8.907269
100.0,7.98,100.0,7.36,10.0,116.7021,7.757872,229.0958
99.99,7.97,100.0,108.7,10.0,223.0759,7.772588,58.70697
99.98,7.98,100.0,55.8,6.69,180.6747,7.891513,155.1677
99.98,7.98,100.0,332.58,3.22,69.14642,7.81939,159.5698
99.98,7.98,100.0,96.57,-0.18,140.8155,7.894439,95.64114
99.98,7.97,100.0,244.76,1.12,54.79876,7.863974,79.0253
99.98,7.98,100.0,141.69,9.85,180.0666,7.67183,-0.8382418
99.98,7.98,100.0,347.57,3.21,85.54411,7.805542,165.5096
99.98,8.0,100.0,277.28,4.61,21.47201,7.767607,110.2627
99.99,7.98,100.0,170.72,0.97,107.8263,7.872018,52.08179
99.99,7.98,100.0,230.69,3.43,47.29201,7.902542,57.31862
99.99,7.97,100.0,225.39,10.0,7.271927,7.744314,9.025959
99.99,7.98,100.0,325.98,-5.0,88.03561,7.920903,117.1225
99.99,7.97,100.02,92.8,6.42,195.0257,7.819633,95.62658
99.99,7.99,100.02,258.61,-5.0,79.22186,7.920535,95.86613
100.0,7.99,100.02,200.06,6.17,67.71323,7.793846,12.66572
100.0,7.97,100.02,213.39,-3.08,85.09464,7.94162,78.05589
100.0,7.99,100.02,98.73,10.0,227.976,7.742341,80.41456
100.0,7.97,100.02,172.06,-0.58,105.0765,7.86545,61.34309
100.0,7.98,100.02,18.73,6.17,129.7297,7.781074,187.9767
100.0,7.99,100.02,182.72,-2.5,98.41252,7.963035,71.05045
100.0,8.0,100.02,24.8,-0.07,117.5136,7.95151,137.0864
100.0,7.98,100.03,42.01,1.75,136.7106,7.871226,140.2518
100.0,7.98,100.03,182.0,3.75,97.54878,7.816377,28.56097
100.0,7.98,100.03,88.67,10.0,229.9633,7.764829,102.7315
100.0,7.99,100.03,109.98,-5.0,119.6607,7.920036,92.55665
99.99,7.99,100.03,227.31,10.0,4.282702,7.771459,11.80632
99.99,7.99,100.03,194.02,0.41,88.88865,7.94821,56.80404
99.99,7.99,100.03,324.76,-3.25,84.54417,7.88618,121.3651
100.0,7.98,100.03,92.8,10.0,229.5716,7.758854,93.328
99.99,7.98,100.03,123.6,8.49,195.6862,7.840286,36.11096
99.99,7.97,100.03,50.04,6.67,174.7215,7.834047,162.3219
99.99,8.0,100.03,26.07,2.58,126.5813,7.837545,154.8138
99.99,7.97,100.03,18.07,-0.25,112.1008,7.959133,137.8258
99.99,7.99,100.03,130.06,1.67,140.4828,7.934651,65.70527
99.99,8.0,100.03,58.05,10.0,209.8332,7.741298,168.8815
99.99,7.97,100.03,118.05,7.75,195.5022,7.720484,49.34824
99.99,8.0,100.03,63.23,-4.5,119.5292,7.926773,110.2502
99.99,7.97,100.03,223.27,5.5,40.37717,7.840576,37.23816
99.99,7.97,100.02,220.61,10.0,15.38942,7.747751,1.820101
99.99,7.97,100.02,20.6,8.67,141.2378,7.746216,209.9025
99.99,8.0,100.03,244.45,1.76,51.03565,7.862078,76.81551
99.99,8.0,100.03,357.76,-5.0,99.25731,7.901771,121.1859
99.99,7.98,100.02,221.75,-5.0,85.78022,7.9184,84.61004
99.99,7.97,100.02,42.97,7.83,173.5732,7.876156,179.1576
99.99,7.98,100.02,75.35,0.64,144.8167,7.855662,111.691
99.99,8.0,100.02,200.51,-5.0,92.37482,7.930951,80.68968
99.99,7.99,100.02,300.51,-5.0,81.97079,7.925027,110.9494
99.99,7.97,100.02,191.18,1.58,89.687,7.848018,48.00896
99.99,7.98,100.02,44.52,6.67,168.456,7.841014,169.9032
99.99,7.97,100.02,212.48,2.01,69.86731,7.838892,52.23035
99.99,7.97,100.02,23.1,-5.0,108.5216,7.906782,119.1327
99.99,8.0,100.02,61.78,2.0,150.2801,7.817287,126.9935
99.99,7.98,100.02,259.03,-5.0,79.51184,7.918403,96.41565
99.98,8.0,100.02,78.91,10.0,227.375,7.750955,125.3216
99.98,7.99,100.03,99.09,10.0,227.9674,7.767,79.79184
99.98,7.99,100.03,189.98,-2.15,94.34898,7.867895,69.76442
99.99,8.0,100.03,254.63,-1.83,69.0964,7.891178,91.87597
99.99,7.99,100.03,214.63,-2.42,83.32925,7.869999,75.64802
99.99,7.97,100.03,138.62,7.08,167.6853,7.752799,23.48203
99.99,8.0,100.02,118.62,10.0,214.2174,7.750625,38.02531
99.99,7.99,100.02,346.61,8.75,72.98273,7.708443,214.8406
99.99,7.97,100.02,314.61,-3.25,81.35068,7.865864,118.3322
99.99,7.99,100.02,83.94,-5.0,121.0225,7.923407,102.0661
99.99,7.99,100.02,245.27,6.92,9.748688,7.857523,58.23761
99.99,7.98,100.02,7.93,-5.0,103.2064,7.917429,120.7601
99.98,7.99,100.03,205.27,4.92,65.54031,7.888077,26.98718
99.99,7.97,100.03,9.27,10.0,121.2411,7.750389,228.2642
99.99,8.0,100.03,209.27,-5.0,89.99828,7.899942,82.13972
99.99,7.99,100.03,11.94,-5.0,104.6166,7.923091,120.575
99.99,7.98,100.03,228.94,10.0,2.441268,7.762393,14.76855
99.99,7.98,100.03,49.01,10.0,198.1402,7.761923,184.8479
99.99,8.0,100.03,289.02,-1.5,68.9056,7.940768,110.7281
99.98,7.99,100.02,23.69,-4.5,109.1699,7.948818,120.1463
99.99,7.98,100.02,17.02,10.0,138.3369,7.761626,224.1476
99.99,7.99,100.02,18.33,0.58,114.6657,7.948444,143.3531
99.99,7.99,100.02,339.67,-5.0,92.9026,7.922671,119.8837
99.99,7.97,100.02,249.0,-1.42,68.14187,7.867027,88.00827
99.99,8.0,100.02,177.0,-0.83,102.2092,7.954915,63.64375
99.99,7.98,100.02,305.0,6.83,18.54643,7.735245,157.4798
99.99,7.98,100.02,139.67,10.0,184.2197,7.768309,1.330593
100.0,7.99,100.02,138.34,10.0,186.2865,7.768326,3.375269
100.0,8.0,100.02,350.36,10.0,78.08491,7.749256,228.3097
100.0,7.99,100.03,268.99,-5.0,79.19054,7.928043,100.0213
100.0,7.97,100.03,254.34,-5.0,79.78819,7.904488,94.73376
100.0,8.0,100.03,22.38,-1.93,111.6549,7.965793,128.9833
100.0,7.99,100.03,103.7,10.0,225.8322,7.773766,69.47159
