x_pos,y_pos,z_pos,x_angle,y_angle,x_target,y_target,z_target
116.0,10.03,100.0,21.17,6.79,129.3909,14.77707,136.3709
116.0,10.01,100.0,53.03,16.87,140.825,20.22667,119.7381
116.0,10.02,100.0,115.64,12.86,147.7548,18.52759,84.64124
115.99,10.03,100.0,166.7,3.87,134.4397,7.855484,17.8881
115.99,10.03,100.0,170.99,0.74,125.514,7.779123,38.80029
115.99,10.03,100.01,87.57,2.48,135.2379,12.80659,101.0922
115.99,10.01,100.0,55.38,3.77,141.9993,13.03224,118.4662
115.99,10.02,100.0,72.46,3.44,138.6155,12.98005,107.4931
115.99,10.01,100.0,109.06,4.45,134.137,13.45977,93.82755
115.99,10.0,100.0,68.1,11.76,142.4572,17.03215,111.1455
115.99,10.02,100.0,111.53,4.83,133.6938,13.37478,93.0452
115.99,9.99,100.0,111.43,3.51,135.8415,12.96777,92.19366
115.99,10.0,100.01,160.52,-1.47,132.2268,7.872426,54.28157
115.99,10.0,100.01,171.18,0.18,124.4713,7.857004,42.97045
115.99,10.0,100.01,162.36,5.85,144.6238,7.801638,3.392779
115.99,10.02,100.01,196.29,4.67,88.03313,7.85135,14.36901
115.99,10.03,100.01,301.43,2.36,71.51349,10.58045,126.1678
115.99,10.03,100.01,324.98,4.53,83.88325,12.36747,143.0814
115.99,9.99,100.01,305.8,-8.9,98.14733,8.16811,113.0939
116.0,9.98,100.0,17.81,-2.73,125.3846,9.782082,128.5825
115.99,9.97,100.0,343.75,-5.36,109.164,9.131741,124.5365
116.0,9.98,100.0,333.21,-2.92,100.6515,8.948478,130.7378
116.0,9.97,100.0,11.25,-0.66,122.522,10.62599,131.5973
116.0,9.97,100.0,358.63,-4.2,115.6942,9.648029,125.5008
116.0,9.99,100.0,32.66,4.27,133.9001,13.25712,128.0877
115.99,9.96,100.0,112.12,14.55,148.8137,19.53582,86.52003
115.99,9.97,100.0,131.35,7.63,203.9167,7.83725,22.48906
115.99,10.0,100.0,167.62,5.95,137.0554,7.667619,-1.153045
115.99,9.97,100.0,137.73,7.04,191.0662,7.850945,16.86832
115.99,10.0,100.0,116.33,5.96,140.7138,14.11345,87.75295
115.99,9.97,100.0,71.14,7.88,140.9254,14.9263,108.5749
115.99,9.95,100.0,105.63,12.3,142.0028,17.00669,92.62399
115.99,9.97,100.0,126.84,8.7,217.2734,7.804665,23.43026
115.99,9.99,100.0,105.44,7.36,150.9315,15.16785,90.58472
115.99,9.96,100.0,83.88,6.25,143.203,14.33566,103.0923
115.98,9.98,100.0,64.44,5.08,145.9093,13.82571,114.1795
115.98,9.98,100.0,43.12,6.02,136.3098,14.17637,121.73
115.98,9.97,100.0,98.97,17.58,149.4267,21.07896,94.51407
115.98,9.97,100.0,232.95,2.81,62.91599,9.341237,61.34167
115.98,9.98,100.0,280.33,-5.45,88.9539,8.527547,105.117
115.98,10.0,100.0,239.25,-1.67,76.438,7.972258,77.46331
115.98,9.96,100.0,284.6,2.38,80.52757,11.74277,109.2681
115.99,9.99,100.0,310.51,1.92,63.35952,7.947345,143.4788
115.99,10.0,100.0,299.34,-1.36,88.61498,10.02416,115.2216
115.99,9.99,100.0,335.54,-9.43,108.001,8.532747,118.189
115.99,9.99,100.0,279.8,-14.38,100.068,7.841884,103.0818
115.99,9.98,100.0,243.25,-11.37,97.68244,7.632189,90.96052
115.99,9.96,100.0,221.52,-12.77,103.9711,7.713316,86.38897
115.99,9.99,100.0,177.14,-5.35,118.0396,7.812582,67.16308
116.0,9.99,100.0,256.1,-12.36,98.32788,7.817316,95.59823
116.0,9.98,100.0,209.05,-8.8,104.5835,7.838454,79.06815
116.0,9.98,100.0,191.97,-7.69,110.8884,7.868361,74.25097
116.0,9.97,100.0,204.93,-7.85,105.2444,7.819437,76.08424
116.0,9.98,100.0,256.2,-7.02,89.4612,7.88193,93.43356
116.0,9.99,100.01,179.41,-4.38,116.7781,7.802964,63.67716
116.0,9.95,100.01,149.39,-0.9,143.1745,7.897275,55.38285
116.0,9.97,100.01,37.87,-0.09,133.1985,11.32146,121.8009
115.99,9.97,100.01,35.69,0.08,132.3897,11.41502,122.189
116.0,9.98,100.0,353.46,-1.78,112.7112,10.1775,129.66
116.0,9.98,100.0,14.69,5.9,125.8759,14.11707,139.7319
116.0,9.97,100.0,334.51,-3.22,101.6781,8.913284,129.9394
116.0,9.98,100.0,349.08,8.11,97.80109,13.55601,185.4281
116.0,9.96,100.0,27.08,15.13,135.206,21.14432,139.6604
116.0,9.98,100.0,31.54,13.72,135.653,19.38757,133.7223
116.0,9.98,100.0,40.01,15.15,139.0516,19.97004,128.3942
116.0,9.98,99.99,334.21,5.62,76.44566,9.950714,177.1783
116.0,9.99,99.99,246.24,-7.04,90.6443,7.778566,89.31567
116.0,10.02,99.99,190.64,-4.98,109.4144,7.762058,66.62361
116.0,10.03,99.99,171.89,-0.95,123.3127,7.764708,48.61838
116.0,9.98,100.0,188.83,4.62,98.21381,5.401597,-0.5185817
116.0,9.98,100.0,252.77,-9.81,95.08776,7.804664,93.88084
116.0,9.97,100.0,235.55,-13.62,101.8985,7.762945,90.44942
116.0,10.0,100.0,172.04,-3.44,121.9157,7.862784,60.89476
116.0,10.0,100.0,197.27,-2.94,103.6334,7.892936,61.1431
116.0,9.98,100.0,241.98,-11.66,98.71716,7.726212,91.16109
116.01,9.98,100.0,270.09,-15.13,99.94434,7.633861,100.3425
116.01,9.98,100.0,242.09,-12.42,99.82242,7.830567,91.67622
116.01,10.0,100.0,229.18,-9.77,98.54752,7.653339,85.3304
116.01,10.02,100.0,278.78,-13.75,98.86924,7.736269,102.9993
116.01,10.01,100.0,302.37,-11.93,100.2549,7.97442,110.2377
116.01,10.03,100.0,283.0,-12.52,97.77642,7.73164,104.4593
116.01,10.02,100.0,252.74,-10.41,95.84563,7.824657,94.10454
116.02,10.03,100.0,285.1,-2.13,85.52829,9.63055,108.033
116.02,10.01,100.0,321.35,5.94,82.76673,13.76612,139.1631
116.02,10.03,100.0,359.68,9.78,111.1867,7.942005,235.6515
116.02,10.02,99.99,334.38,2.54,84.45103,8.5158,161.832
116.02,9.97,99.99,340.75,6.87,86.33457,12.16009,177.8295
116.02,10.03,99.99,48.27,17.79,141.0266,21.34801,123.8245
116.02,10.03,99.99,27.12,13.49,134.3796,19.72094,139.1973
116.02,10.01,99.99,344.54,1.16,98.03278,7.807501,162.3489
116.02,10.04,99.99,313.03,-3.17,74.572,4.870754,137.8047
116.03,10.03,99.98,40.05,2.88,134.8452,12.55645,123.1388
116.03,10.01,99.98,76.34,11.07,143.0146,16.57378,107.0783
116.02,10.02,99.98,69.92,10.04,144.4712,16.33353,110.7477
116.02,10.02,99.98,46.23,11.78,141.9788,17.92835,126.0909
116.02,10.01,99.97,338.44,0.22,94.95626,8.342036,150.6836
116.02,10.01,99.97,289.39,-10.16,95.96159,7.902551,106.9479
116.03,9.97,99.97,289.44,-14.16,100.3364,7.813807,105.3549
116.03,9.97,99.97,355.42,0.78,112.3299,10.79054,137.6072
116.03,10.0,99.97,357.33,-0.99,114.0745,10.41933,131.0249
116.03,10.0,99.97,9.81,-1.25,121.3495,10.28366,131.7084
116.03,10.0,99.97,63.27,5.36,139.0858,13.83838,111.9646
116.03,10.0,99.97,84.91,9.18,141.5225,15.49681,102.4535
116.02,10.03,99.97,41.83,6.94,138.8939,14.84378,126.395
116.02,10.01,99.97,24.69,2.72,131.4127,12.20789,134.2547
116.02,10.03,99.97,22.4,0.48,128.0436,11.24979,129.686
116.02,10.03,99.96,39.53,5.87,135.0662,14.10963,123.8387
116.02,10.01,99.96,359.4,-4.59,115.4981,9.573168,124.3396
116.02,10.01,99.96,357.24,-1.66,114.1348,10.20564,129.9401
116.02,10.02,99.96,45.91,10.4,138.0704,16.59699,122.1938
116.02,10.01,99.96,58.83,9.22,140.6177,15.79722,115.4064
116.02,10.01,99.96,95.56,6.06,136.167,13.8674,98.16007
116.02,10.01,99.96,110.76,4.31,132.8125,13.19467,93.63526
116.02,10.02,99.96,108.47,2.81,131.0586,12.71151,95.04132
116.02,10.02,99.96,95.57,3.99,141.8653,13.25755,97.72356
116.02,10.01,99.96,106.39,4.28,133.3365,13.19314,95.02279
116.02,10.02,99.96,58.9,7.34,140.7511,14.81327,115.3517
116.02,9.97,99.96,20.69,5.75,130.7978,13.93216,141.4738
116.02,10.0,99.96,56.77,13.16,141.386,17.95691,117.4387
116.01,10.03,99.96,86.99,18.79,150.0894,21.98646,101.8078
116.01,10.02,99.96,108.58,15.07,165.3248,22.25205,83.10616
116.01,10.04,99.96,125.78,12.05,242.2568,7.80141,6.782921
116.01,10.02,99.96,78.37,14.52,145.0314,18.5818,106.4805
116.01,10.03,99.97,216.97,4.62,59.84767,7.772294,29.49345
116.01,10.0,99.97,253.31,-0.76,72.9082,8.795572,87.46216
116.01,10.01,99.97,257.63,-3.99,81.88275,8.096887,92.80528
116.01,10.03,99.97,315.88,0.12,91.10016,10.52641,124.4457
116.02,10.0,99.97,279.31,-6.96,90.51387,8.169694,104.1628
116.02,10.0,99.97,231.77,-3.06,83.82153,7.816764,75.65498
116.02,10.01,99.97,266.37,-0.31,74.4136,9.506365,97.50605
116.02,9.98,99.97,285.86,0.85,82.28608,10.8635,109.2809
116.02,10.03,99.97,315.89,0.24,91.19278,10.61371,124.5002
116.02,10.02,99.96,322.05,-0.24,92.73771,10.19925,128.8111
116.02,10.03,99.96,2.28,11.3,117.563,7.764839,250.2596
116.02,10.01,99.96,19.2,14.7,131.9105,21.92669,151.4204
116.02,10.01,99.96,309.59,1.68,71.03145,9.261829,135.4382
116.02,10.0,99.96,315.86,4.71,85.48737,13.01371,129.1691
116.02,9.98,99.96,328.74,4.85,65.91237,7.700559,177.5099
116.02,9.98,99.96,2.57,9.78,117.9428,7.63104,236.2063
116.02,10.0,99.96,47.02,16.12,140.0433,20.12966,123.4251
116.02,9.98,99.96,17.12,12.83,130.569,20.26983,154.0688
116.02,10.0,99.96,345.49,4.48,94.85312,9.861806,173.4565
116.02,10.0,99.96,14.81,5.61,125.988,13.97137,139.1146
116.02,10.03,99.95,27.59,4.27,131.1159,13.2683,128.9015
116.02,10.01,99.95,74.72,12.95,157.313,19.45929,111.1024
116.02,9.97,99.96,79.16,12.94,146.1588,17.90467,105.5797
116.02,10.0,99.96,55.61,5.9,139.9915,14.06886,116.54
116.02,9.98,99.95,8.62,-2.54,120.3066,9.782441,129.1416
116.02,9.97,99.95,55.49,6.87,138.9173,14.52949,115.9667
116.02,9.98,99.95,8.6,6.99,130.9353,7.118374,212.7901
116.02,9.97,99.95,36.28,8.13,136.0886,15.46439,128.1548
116.02,10.04,99.95,309.3,3.29,86.13348,12.27278,122.8757
116.02,10.04,99.95,328.58,-0.67,95.26866,9.702358,132.5975
116.03,10.01,99.95,296.45,-5.21,92.02913,8.818315,111.2463
116.03,10.01,99.95,266.26,-2.86,80.36472,8.656392,97.25465
116.03,10.03,99.95,221.02,3.78,59.91765,7.768264,37.73991
116.03,10.03,99.95,193.15,5.73,90.83267,7.736047,2.889274
116.03,9.98,99.96,78.24,19.08,149.9178,22.22798,107.181
116.03,9.98,99.96,104.18,18.61,151.7375,22.44597,90.66614
116.03,9.97,99.96,82.6,9.94,141.9999,15.8415,103.2936
116.03,9.98,99.96,84.78,9.71,142.126,15.75799,102.3305
116.02,9.99,99.96,73.96,3.38,138.3066,12.9597,106.3967
116.02,9.99,99.96,146.94,-0.4,146.3131,8.039309,54.49107
116.02,10.03,99.96,182.86,-3.99,114.3041,7.852917,62.04903
116.02,10.03,99.96,151.26,3.6,156.0798,7.799014,26.51312
116.02,10.03,99.96,146.74,-1.84,141.3882,8.174865,61.87334
116.02,10.02,99.96,188.98,-7.59,111.9937,7.739546,72.57312
116.02,10.02,99.96,197.52,2.91,91.52235,7.844912,26.93929
116.02,9.98,99.96,177.09,3.93,119.6451,7.785805,14.29726
116.02,10.0,99.97,136.3,6.22,188.7799,7.775062,23.51516
116.02,10.0,99.97,95.49,14.28,151.2973,19.43487,96.26553
116.02,9.97,99.97,12.13,5.3,124.4041,13.74341,139.9633
116.02,10.01,99.96,41.71,3.31,138.9871,12.77015,125.3382
116.02,9.98,99.96,1.31,-2.73,117.0058,9.878689,128.7034
116.02,9.95,99.96,20.37,2.65,129.2741,12.15164,135.3094
116.02,9.96,99.96,65.19,4.83,139.0333,13.61461,110.5204
116.02,9.98,99.96,52.27,8.23,140.2954,15.40442,118.7711
116.02,10.01,99.96,20.15,11.83,130.9329,18.79603,144.5627
116.02,10.02,99.96,22.24,10.98,131.5555,17.94391,140.9417
116.02,9.99,99.95,24.37,9.92,135.4962,17.39462,145.4619
116.02,10.04,99.95,30.97,12.98,136.9262,19.32769,138.0381
116.01,10.01,99.95,64.98,17.27,144.1638,20.38154,114.2218
116.01,10.01,99.95,90.86,13.13,164.5356,20.16965,99.34985
116.01,10.03,99.95,82.18,5.62,152.8157,14.14331,105.3557
116.01,10.02,99.95,88.62,3.79,136.4266,13.11971,100.7667
116.01,10.0,99.95,24.23,2.16,129.2668,12.06618,130.416
116.01,10.04,99.95,73.48,3.04,137.7476,12.82021,106.749
116.0,10.01,99.95,34.85,0.52,132.827,11.44376,124.5473
116.0,10.02,99.95,82.14,5.43,152.7465,14.00606,105.3453
116.0,10.02,99.95,103.82,6.98,141.1763,14.58285,94.00069
116.0,10.02,99.95,84.36,6.43,138.4615,14.21967,102.5052
116.0,10.01,99.95,51.88,5.62,138.2,14.04251,117.7848
116.0,10.03,99.95,35.02,4.29,135.2897,13.27866,128.3472
116.0,10.03,99.95,56.37,5.44,138.5559,13.85095,115.4851
116.0,10.04,99.94,95.17,8.01,141.757,15.02228,97.88309
116.0,10.04,99.95,129.49,10.32,224.5473,7.763002,9.515831
116.0,10.0,99.95,186.62,-2.42,110.6416,7.778453,56.15427
116.0,10.01,99.95,235.63,-10.15,97.8933,7.740303,87.95485
116.0,9.99,99.95,246.38,-8.38,92.79941,7.705068,90.16793
116.0,10.01,99.95,280.94,-14.92,100.1821,7.676708,103.3413
116.0,9.99,99.95,329.96,-5.86,102.3956,8.486483,124.0469
116.0,9.98,99.94,1.65,4.71,117.8481,8.125004,190.1107
116.0,10.0,99.94,321.46,2.0,66.63506,6.385098,160.5342
116.0,9.99,99.94,40.14,14.75,139.0642,19.7247,128.4525
116.0,9.97,99.94,69.98,12.93,143.3006,17.65885,110.1973
116.0,9.98,99.94,8.07,8.54,131.4239,7.375095,226.199
116.0,9.95,99.94,70.01,13.45,145.3644,18.25005,110.7206
116.0,9.98,99.94,104.58,14.27,151.3715,19.52754,90.54784
