x_pos,y_pos,z_pos,x_angle,y_angle,x_target,y_target,z_target
212.0,9.84,105.0,161.28,-14.8,216.8845,7.746109,90.29118
212.0,9.85,105.0,146.22,-20.6,218.0541,7.964735,95.79775
212.0,9.85,105.0,86.01,-13.48,223.2103,9.208219,105.3686
212.0,9.86,105.0,60.93,-3.71,227.0431,10.44528,112.4644
211.99,9.87,105.0,138.3,-18.69,219.3456,8.294178,96.65115
211.99,9.85,105.0,184.23,-15.9,211.1896,7.800825,90.65016
211.99,9.88,105.0,92.42,-16.23,228.4282,7.025324,103.9826
211.99,9.87,105.0,125.36,-13.55,222.1052,8.824986,97.77332
211.99,9.87,105.0,238.15,10.88,91.26857,7.668533,22.93367
211.99,9.89,105.0,17.39,12.48,264.7465,7.597725,257.6254
211.99,9.87,105.0,317.25,14.04,203.5448,14.9881,114.2303
211.99,9.88,105.0,155.52,-18.91,217.1527,7.913178,94.00576
211.99,9.85,105.0,62.5,-6.75,225.1578,9.990736,111.2926
211.99,9.83,105.0,44.11,3.3,253.2996,10.72604,145.8488
211.99,9.84,105.0,212.32,3.8,170.1743,7.773137,33.55476
211.99,9.85,105.0,243.27,6.75,183.0911,14.35715,89.14275
211.99,9.87,105.0,37.74,1.45,230.9156,11.69178,129.3311
211.99,9.85,105.0,223.09,4.98,151.3681,7.835525,35.76028
211.99,9.87,105.0,189.7,-6.77,208.4135,7.859897,78.71013
211.99,9.88,105.0,200.45,-6.53,202.927,7.824114,78.60184
211.99,9.83,105.01,235.89,10.81,95.12585,7.804965,18.96176
211.99,9.85,105.01,269.35,20.8,176.8731,23.2782,102.8156
211.99,9.84,105.0,315.26,19.97,200.3796,17.38522,116.1543
211.99,9.86,105.0,24.37,8.58,265.1061,7.685579,218.806
211.99,9.85,105.0,180.48,-3.35,213.1889,7.924263,68.41972
211.99,9.86,105.01,209.87,5.57,167.2032,7.74086,18.30527
211.99,9.83,105.01,280.73,23.19,184.4503,22.72647,109.5039
211.99,9.85,105.01,359.63,15.13,214.3035,7.754152,289.2385
211.99,9.84,105.01,319.09,16.12,202.7028,15.89754,116.1317
211.99,9.84,105.0,17.62,17.43,282.2042,7.53598,297.4806
