x_pos,y_pos,z_pos,x_angle,y_angle,x_target,y_target,z_target
59.35,8.0,27.23,28.67,-1.25,59.37004,7.90845,69.77045
62.23,7.98,22.61,264.76,-5.0,42.15126,7.90391,20.9573
139.86,7.97,0.0,336.29,10.0,103.5151,7.743961,121.093
284.03,8.0,0.0,42.46,-3.67,298.3732,7.933095,19.32449
144.91,7.98,224.79,145.3,2.0,183.3695,7.863767,155.4417
40.92,8.0,233.22,37.96,-5.0,56.72836,7.917063,248.85
33.4,7.98,157.48,87.97,10.0,43.15215,7.668198,57.0332
113.04,8.0,137.72,173.33,0.66,119.3304,7.941276,87.86761
213.7,7.97,112.75,280.03,-5.0,198.9806,7.926008,116.9379
300.0,7.97,105.25,212.8,-5.0,286.9067,7.923084,87.49224
298.18,7.99,81.17,248.01,-2.33,270.4339,7.909213,69.66281
52.04,7.97,71.64,333.42,10.0,112.1106,7.760861,196.2685
216.74,7.98,168.56,40.2,8.67,178.707,7.753874,295.2368
300.0,7.98,108.79,244.01,-5.0,281.3696,7.896779,100.1454
272.26,8.0,179.43,105.29,-5.0,292.007,7.927879,173.9665
161.95,7.98,188.3,346.86,-5.0,153.3502,7.924593,208.5882
31.05,7.97,281.38,159.5,-5.0,39.48629,7.909363,260.4847
118.83,7.99,194.29,283.74,9.67,25.14524,7.858334,268.5841
225.49,7.99,130.19,51.77,10.0,235.0792,7.751178,271.4433
181.33,7.99,143.83,150.59,-5.0,185.2343,7.899621,123.9874
59.11,7.99,120.28,43.87,-5.0,77.23933,7.930302,134.9758
20.11,7.98,198.9,33.19,-5.0,31.70671,7.92796,215.8979
165.58,7.98,94.37,154.82,10.0,266.6163,7.767815,62.30729
271.12,8.0,39.04,221.68,-5.0,257.5482,7.916025,25.32447
300.0,8.0,113.59,320.9,0.33,285.9428,7.931139,147.088
141.26,7.98,300.0,163.01,10.0,235.3505,7.754174,164.438
92.45,8.0,222.89,176.9,10.0,182.0411,7.751377,168.391
171.69,7.98,3.02,339.38,-5.0,163.2524,7.922533,22.67552
121.32,8.0,95.06,349.05,-5.0,117.9737,7.906672,118.6004
107.28,7.99,208.29,106.43,-5.0,125.9533,7.90216,206.0499
131.28,7.99,274.04,326.4,-5.07,119.181,7.899485,289.5991
69.16,7.98,167.05,305.05,-5.07,55.2408,7.874816,183.9984
10.68,7.97,69.29,357.06,-5.06,8.633808,7.872177,90.95041
190.18,7.99,300.0,153.1,10.07,269.359,7.6608,222.8841
224.91,7.99,74.89,222.88,-1.98,204.1729,7.957909,52.23985
239.1,7.98,212.7,218.01,-4.97,227.2378,7.913661,194.3753
172.87,8.0,300.0,116.65,-4.94,191.966,7.924806,291.2306
243.89,7.99,278.33,170.2,-4.93,246.9098,7.931452,256.2234
180.03,7.98,200.68,17.17,-5.05,185.262,7.911979,219.5559
