x_pos,y_pos,z_pos,x_angle,y_angle,x_target,y_target,z_target
88.71,7.99,223.51,324.47,-0.14,62.02427,7.867777,259.5898
83.1,7.97,109.53,81.87,-2.01,113.6858,7.918108,115.5507
167.69,7.98,61.98,352.12,4.39,171.6211,7.899668,118.7502
223.22,7.97,161.68,66.85,2.53,266.5302,7.894672,188.3882
299.05,8.0,247.19,278.96,5.19,237.3444,7.81233,179.5718
292.21,7.99,300.0,304.81,8.39,203.3965,7.70642,245.1917
300.0,7.97,258.83,192.36,10.0,262.5664,7.744339,113.0348
255.39,7.99,300.0,335.49,10.0,174.2651,7.768297,202.3192
300.0,7.99,287.27,329.96,8.4,206.805,7.818621,219.4943
188.83,7.99,213.08,147.53,10.0,194.693,7.753817,115.2544
117.38,7.99,123.34,29.51,7.32,244.3137,7.856952,195.0536
47.91,8.0,118.43,70.85,4.65,116.0768,7.857816,155.1147
133.52,7.97,119.73,72.12,1.98,182.8329,7.808315,131.2308
237.27,7.99,72.3,125.49,2.25,280.7874,7.877386,49.11782
241.78,7.99,0.0,299.85,7.32,248.5349,7.692585,108.7511
239.32,7.98,169.84,357.59,3.31,218.8759,7.811354,225.7311
266.99,8.0,279.05,156.31,0.38,298.3848,7.8627,244.4604
300.0,7.99,300.0,220.6,1.18,265.4843,7.893452,265.7698
196.81,7.98,137.01,334.5,2.77,185.609,7.884599,206.3615
123.42,7.99,49.44,216.97,-0.16,98.29757,7.921635,24.45853
177.99,7.99,25.19,240.26,-3.13,158.4061,7.84492,4.951104
138.77,7.97,128.96,357.66,-1.26,136.1281,7.880436,160.8961
98.42,7.98,235.73,115.09,-4.2,119.8883,7.930525,225.5335
92.87,7.97,300.0,103.37,-3.67,118.927,7.854336,293.9215
129.23,7.99,231.31,163.16,-0.46,148.326,7.843007,197.3947
46.19,7.98,149.77,219.74,5.94,1.864672,7.819461,77.4073
158.08,7.98,95.21,347.8,9.14,54.1804,7.856013,191.5196
299.37,7.99,69.13,196.29,10.0,170.7062,7.761812,45.27061
209.62,7.97,85.1,334.66,8.93,260.323,7.767792,220.8317
100.5,7.99,51.73,92.07,6.0,215.3332,7.814828,108.7672
1.88,7.99,90.24,32.21,0.66,29.78443,7.956045,124.6758
0.0,7.97,100.61,113.34,-2.28,28.06073,7.938499,90.58851
40.88,7.99,161.23,41.51,-5.0,55.97377,7.928649,176.0217
121.78,7.99,90.07,344.41,-5.0,117.6896,7.909771,107.3647
143.35,7.97,0.0,6.81,-1.27,139.8524,7.847958,35.03297
63.37,7.99,0.0,15.33,-4.2,76.54996,7.823528,20.42441
1.87,7.97,16.21,49.48,-5.0,18.25837,7.913671,28.28566
71.75,7.99,0.0,353.36,-1.0,62.09451,7.858787,34.39989
202.57,8.0,21.05,327.09,-5.0,192.9888,7.912346,38.126
169.27,7.98,119.3,238.54,-5.0,151.3746,7.907002,108.7624
127.23,8.0,225.4,355.95,-5.0,125.6601,7.900096,248.9609
4.83,8.0,208.87,11.84,-5.0,10.58078,7.921594,230.5928
105.37,7.98,219.34,167.85,-5.0,110.0641,7.908553,199.1158
208.77,8.0,267.64,50.44,-5.0,226.8715,7.902205,282.8661
236.38,7.97,194.25,103.77,0.07,279.6298,7.904951,187.3853
133.52,8.0,124.14,231.85,3.27,99.32132,7.867624,81.24612
21.37,7.97,49.6,113.14,6.74,122.1196,7.895315,15.20408
0.0,7.99,19.34,89.96,4.34,28.68044,7.820787,107.0369
2.14,8.0,119.75,134.46,-2.35,24.55515,7.928439,100.9274
116.45,8.0,236.94,357.48,-4.49,114.9505,7.949426,258.7901
226.88,7.98,265.61,261.45,-5.0,208.6221,7.907643,262.3756
212.13,7.99,295.02,238.35,-5.0,197.0915,7.898384,282.4156
275.26,8.0,218.41,226.62,-5.0,261.3598,7.923975,201.4203
300.0,7.98,149.77,7.87,-5.0,298.7425,7.919275,173.2754
247.74,7.98,150.38,229.86,-1.8,223.5164,7.898841,129.3792
161.4,7.98,235.23,102.88,1.4,213.6855,7.891691,211.1783
0.0,7.98,224.49,92.56,-3.4,25.92396,7.853423,222.2148
92.37,7.99,203.88,274.15,-4.47,70.16407,7.941939,205.1406
212.78,7.99,235.38,42.19,-1.27,223.3211,7.95774,261.0154
151.31,7.99,166.13,205.05,8.35,182.6891,7.745386,87.06062
17.49,7.99,0.0,130.04,7.07,132.8476,7.739226,55.66167
157.02,7.98,13.7,335.13,7.06,66.53719,7.818773,80.16394
166.4,7.98,0.0,281.77,4.4,119.5352,7.883255,65.27699
219.09,7.98,32.39,196.67,-4.17,212.4579,7.91858,11.08501
198.34,8.0,139.25,313.0,-5.0,183.2841,7.916853,157.8577
174.6,8.0,261.44,81.05,-2.87,202.2274,7.856271,263.8132
102.24,7.98,300.0,146.13,-3.13,120.2693,7.938108,279.5851
120.97,7.99,300.0,248.62,-5.0,101.9178,7.897204,292.1826
57.2,8.0,270.56,307.07,-2.07,37.5879,7.950342,297.4705
29.83,7.98,163.02,189.63,0.87,18.95695,7.937067,122.6232
14.47,8.0,52.93,22.08,-1.0,30.98173,7.910598,86.78709
112.83,7.98,76.16,31.68,-3.93,125.8539,7.862307,96.94328
218.07,7.97,142.78,159.83,-1.8,226.4055,7.925261,111.4935
219.33,7.98,124.51,297.16,4.34,157.6114,7.822424,134.176
115.34,7.99,210.34,307.84,7.81,104.3489,7.827669,285.4052
26.32,7.98,130.22,29.67,1.46,54.91631,7.835261,177.3825
113.26,7.99,56.61,272.22,-1.47,72.69362,7.839768,67.71593
199.7,7.99,105.28,243.77,-5.0,181.4917,7.908542,94.90886
154.39,7.98,209.98,147.73,-5.0,165.3705,7.905591,192.6856
281.2,7.99,300.0,209.15,0.87,248.249,7.907671,263.7569
264.1,7.97,227.8,309.19,7.27,187.9495,7.85572,261.9779
170.94,8.0,145.17,77.31,7.27,270.7578,7.698871,254.1361
93.33,7.97,76.33,184.03,6.74,140.8624,7.756526,3.226438
25.68,7.99,66.51,46.82,-0.67,66.80417,7.865374,84.95942
13.0,8.0,143.04,208.0,-3.34,0.6539292,7.939178,124.6709
118.98,8.0,102.84,234.67,-5.0,97.48303,7.912375,94.4239
215.99,7.98,42.76,117.27,-4.47,233.7847,7.926925,32.84547
185.87,7.98,232.41,209.11,4.87,175.1861,7.801306,144.4007
228.07,7.98,280.27,257.13,8.34,115.1223,7.874147,241.7365
185.73,7.98,167.55,181.36,10.0,115.0107,7.753515,109.2694
14.73,7.97,0.0,326.5,10.0,87.63702,7.768467,97.12015
195.47,8.0,108.75,6.23,8.4,253.2218,7.84898,172.4844
255.9,7.97,80.87,26.22,3.06,282.298,7.850874,152.5832
155.86,7.99,26.05,36.9,0.13,196.5223,7.920675,60.90506
164.75,7.98,78.97,244.48,6.53,81.20564,7.879132,56.04659
132.63,7.97,199.22,116.43,9.73,199.851,7.730605,63.95062
106.04,8.0,300.0,256.29,10.0,108.2934,7.773537,150.6061
191.77,7.98,258.02,134.36,10.0,296.4303,7.76509,274.8194
266.96,8.0,172.19,251.76,9.2,169.0916,7.758768,92.50197
204.5,7.99,4.8,326.43,3.6,201.6333,7.7841,91.57863
139.0,7.97,101.42,134.31,5.73,227.9103,7.859107,53.11944
193.51,7.97,99.85,230.43,10.0,37.45963,7.765737,145.1977
299.45,8.0,49.42,202.99,8.13,185.0173,7.758238,52.93752
111.52,7.98,103.24,280.16,2.8,62.86165,7.817826,126.7257
0.0,7.97,118.5,119.01,4.93,17.90535,7.867796,44.68816
136.3,8.0,10.29,66.03,-0.14,172.7449,7.878379,22.06867
241.28,7.99,76.73,297.97,2.53,187.3001,7.894747,107.9965
300.0,7.98,94.68,255.33,5.73,217.4361,7.766395,93.03964
209.36,7.97,0.0,247.92,9.47,143.5348,7.77106,124.0167
237.81,7.99,0.0,215.92,6.53,145.4934,7.843412,16.22332
109.31,7.98,96.22,326.63,6.8,120.1288,7.790781,183.7578
115.89,7.99,112.62,180.03,3.6,127.7367,7.77922,56.03094
189.7,7.99,39.7,286.78,0.93,136.0894,7.829183,52.79596
166.04,7.98,58.54,40.92,-4.94,179.8275,7.801727,74.58882
193.34,8.0,169.2,158.32,-5.0,200.9746,7.914586,151.2609
220.68,7.98,279.99,233.04,-5.0,205.9646,7.908185,270.4569
300.0,7.97,268.33,225.5,-5.0,282.9514,7.899705,258.9894
