x_pos,y_pos,z_pos,x_angle,y_angle,x_target,y_target,z_target
60.0,7.79,40.0,9.35,-1.93,59.49359,6.269318,84.62353
60.0,7.78,40.0,126.68,-1.6,87.46199,7.82444,24.21514
35.65,6.16,53.3,53.34,-3.6,57.0806,6.062809,64.32639
117.73,6.47,148.69,64.88,-1.71,136.4586,7.626553,156.9857
238.17,6.37,179.99,192.93,1.79,226.4314,5.828079,125.4299
233.2,6.0,126.01,248.37,-2.07,208.6032,5.958545,114.2935
100.55,6.33,149.74,26.85,2.58,127.9028,5.862583,220.0941
0.0,5.99,163.86,111.07,3.08,53.07551,7.105662,136.5422
54.82,6.25,73.98,118.52,-3.04,113.3419,5.84802,85.66396
198.82,6.06,60.01,13.93,0.16,217.1161,5.866645,88.37486
176.47,6.37,182.38,245.91,5.44,96.90908,6.490233,156.9221
1.46,6.0,175.52,357.79,3.34,12.26919,5.874237,263.743
65.38,6.22,81.99,97.22,3.77,116.7467,5.873273,107.3949
26.59,6.01,45.08,25.3,9.85,179.8631,6.683469,59.91392
203.61,6.02,58.68,13.39,6.87,237.2227,5.877849,106.9708
287.65,6.84,150.55,245.3,8.96,149.4346,7.297015,141.8307
300.0,5.97,108.28,220.79,8.61,175.6951,6.869053,165.3028
244.42,5.99,4.07,28.73,3.83,269.486,5.810175,49.23505
53.71,6.55,290.55,86.96,14.44,104.0906,7.31408,186.9333
6.53,6.0,200.98,154.22,5.77,70.28258,7.595008,160.0114
241.88,5.99,2.21,20.31,4.92,286.9316,5.895559,52.59341
239.42,5.98,213.47,302.23,9.96,130.7605,7.272563,175.3505
155.45,6.37,235.14,102.68,3.94,140.0652,7.567007,149.4224
300.0,6.0,272.91,311.9,10.06,255.5933,6.213651,181.9731
279.66,5.98,299.14,296.92,2.59,208.4913,5.828398,293.5263
300.0,5.99,268.55,156.08,-0.45,298.8304,5.899801,223.7442
253.18,5.98,293.87,243.98,-3.32,233.0808,5.869595,287.8189
283.62,5.99,239.93,282.81,-4.95,262.8831,5.889394,247.5347
247.01,6.72,146.35,233.08,-3.36,222.1454,5.857243,127.5965
156.66,6.4,60.79,148.0,2.52,198.3077,6.321898,22.53291
49.14,7.99,8.3,10.79,4.61,0.7711992,5.745675,44.03521
0.0,6.19,91.8,82.99,8.47,132.619,5.809228,39.4028
46.04,6.22,164.0,206.35,2.43,25.35541,6.652788,91.48181
114.52,7.93,255.02,323.97,6.0,74.46193,7.516488,273.7095
104.56,7.9,299.7,145.77,11.8,30.87156,5.804762,226.2429
15.23,6.0,122.57,331.47,9.96,30.48028,5.786163,202.7587
209.0,5.99,113.16,20.4,4.65,235.0908,7.232082,161.1914
300.0,6.63,147.34,230.01,2.42,229.4982,6.433922,142.2667
300.0,6.1,189.58,170.23,8.58,259.0067,5.7142,110.7027
178.79,5.99,220.7,85.96,6.53,288.7321,5.896319,288.0672
83.06,7.86,180.92,339.31,4.91,92.70803,6.034404,260.1461
34.61,5.99,224.07,319.03,-1.78,14.00218,5.968738,247.1809
108.37,6.18,146.15,339.28,0.17,100.2156,7.261772,172.3768
188.44,6.76,37.67,118.07,0.49,234.4997,5.860634,39.30881
273.18,6.01,99.54,182.45,-1.47,271.0149,5.905631,66.53642
151.77,7.14,124.44,53.23,0.03,191.7276,6.271539,139.9031
40.14,6.01,147.28,149.21,-0.13,64.86579,7.706808,118.7413
90.37,6.18,300.0,91.95,0.08,103.0899,7.79521,299.8484
180.61,6.0,229.74,49.66,-0.16,207.6733,5.927642,255.8311
256.01,6.11,130.77,281.63,3.63,182.8807,6.429754,177.2913
96.12,6.15,77.14,336.55,8.27,104.4977,5.921665,210.3861
210.1,5.99,73.94,218.94,10.06,41.34021,6.106174,51.01534
288.25,5.99,59.16,209.06,7.66,192.3546,5.763395,70.50895
154.62,5.97,213.56,355.71,2.19,164.3311,7.209909,252.1147
59.86,7.18,300.0,167.52,1.12,13.8187,5.779254,252.6631
22.99,5.98,227.09,344.89,-3.62,18.01299,5.836292,254.61
16.87,6.0,113.17,16.9,-4.99,22.66153,5.880911,133.285
106.29,6.52,44.03,104.67,-3.86,127.0335,5.844256,30.96643
196.88,5.99,129.22,336.77,4.48,177.0075,6.310563,183.6197
295.23,6.15,187.36,60.87,6.0,268.3333,5.909187,276.7215
217.15,6.22,138.53,354.52,13.49,160.7343,5.864146,217.3958
107.46,7.35,169.76,111.77,8.01,253.0136,5.975482,191.7529
7.73,5.97,198.0,218.46,5.42,9.071164,5.861948,104.4839
27.45,6.01,122.36,159.77,8.69,5.179509,5.746727,31.92882
114.07,7.31,185.73,75.65,7.94,200.3258,6.063676,135.4603
197.36,5.98,263.61,128.91,9.95,286.2866,5.752145,223.1149
272.53,5.99,26.52,278.92,10.01,166.831,6.190705,0.9052031
197.72,6.0,212.14,183.45,5.0,247.6759,5.779356,99.67331
233.2,5.98,278.08,190.5,-0.37,226.3244,5.929678,240.5616
275.04,5.98,293.12,144.97,-4.74,281.9519,5.843332,276.9024
194.09,6.18,281.82,180.96,10.41,300.0872,5.814378,294.1826
277.05,6.0,205.61,298.36,9.89,123.1234,5.942985,199.946
299.27,5.99,228.11,279.13,10.03,182.1786,5.696916,230.2684
124.95,7.53,233.75,191.15,4.38,165.5479,7.297019,132.5683
109.14,6.31,203.49,327.64,-0.97,85.21929,6.702142,232.8071
221.97,5.99,220.23,85.03,-2.05,252.9853,5.840926,222.9319
300.0,5.99,205.44,297.34,0.68,256.2009,5.870422,217.4221
242.3,5.98,111.03,106.96,0.38,288.1068,5.877551,104.8946
171.95,6.7,21.27,224.32,-4.5,153.8042,5.810117,1.972577
78.66,7.98,27.83,67.01,-5.19,103.7404,6.695354,39.22882
0.54,5.98,108.96,48.87,-1.84,21.73154,5.867626,124.6671
99.26,6.08,130.0,146.01,-0.29,119.563,5.857934,99.92505
222.64,5.99,114.57,274.07,3.34,154.9468,7.074467,108.6272
190.62,6.51,49.27,328.11,-2.45,179.2748,6.612759,70.327
77.36,7.34,62.04,85.21,-2.83,111.142,6.003681,65.82333
0.0,6.0,52.82,135.88,-4.82,14.19234,5.949039,37.68313
106.64,6.01,80.5,326.98,-5.05,93.83251,5.824744,96.15158
176.3,6.91,170.8,84.3,-3.41,203.1064,6.605736,173.9155
244.88,5.98,120.46,340.36,0.53,228.7161,7.238898,155.9969
231.45,6.01,2.97,270.98,-2.52,207.5139,6.153057,3.925823
267.07,6.0,111.76,346.73,0.62,254.3225,6.476415,144.4346
300.0,5.98,228.52,290.81,-3.66,277.765,5.947958,237.0169
270.55,5.97,300.0,141.43,-1.51,287.5587,5.968859,269.2812
256.49,5.99,242.16,213.25,-4.41,237.985,5.819906,226.2275
294.32,6.0,229.75,191.07,0.15,275.5412,5.972316,190.8338
207.36,5.98,292.52,290.37,-0.22,183.1069,6.933956,296.7606
300.0,5.98,214.35,295.74,-4.95,282.0308,5.879575,223.9353
172.48,6.04,236.64,83.39,0.75,218.0853,5.848646,248.7738
68.34,7.59,168.51,211.5,-0.61,65.78522,7.513305,132.5079
68.6,7.98,17.47,333.19,-5.05,62.26359,7.867629,34.25391
56.06,6.82,86.64,131.57,-10.56,67.0009,5.899104,74.93933
231.66,5.99,247.93,16.99,1.09,234.481,5.927387,289.1646
215.29,6.0,252.1,292.71,-2.08,188.1641,5.951931,264.6168
262.43,7.11,164.66,18.51,-4.3,271.3482,5.975116,192.7462
189.52,6.05,76.94,135.9,-4.93,204.4294,5.818622,61.03728
113.11,6.01,0.0,286.34,-5.07,95.40745,6.457575,6.33674
25.2,7.97,77.64,123.74,-2.25,53.27423,5.965334,60.23372
0.0,6.97,85.78,182.63,10.2,35.77902,6.896329,34.31585
0.0,5.98,133.36,109.92,4.38,38.3883,7.56095,91.79283
0.0,7.94,76.01,180.35,8.16,60.55622,7.815125,16.2791
7.77,5.98,27.15,318.46,8.43,135.6058,5.664318,89.46012
53.83,6.63,224.75,158.51,3.48,103.2321,7.390065,187.2837
55.91,6.74,253.36,337.78,-1.52,37.52249,5.958684,299.3625
157.99,6.49,237.57,273.7,0.79,134.8134,7.723222,239.9847
280.97,5.99,218.6,41.82,-4.99,289.3106,5.876868,235.6798
274.12,6.41,141.33,311.72,-3.24,258.7448,6.840663,154.4192
178.16,6.15,189.42,268.0,-4.92,156.1397,6.160198,189.172
83.45,6.91,252.97,151.4,-7.85,91.70507,5.911531,237.0562
90.87,6.48,298.09,188.55,-0.37,85.39444,6.773698,275.0852
182.01,6.0,230.88,88.89,-2.38,210.3063,5.920125,231.266
281.48,7.02,155.04,341.52,2.53,248.171,5.893435,210.3372
295.36,6.05,193.51,317.01,3.63,261.5172,5.917605,218.3822
210.48,7.21,157.61,324.52,7.39,148.9872,5.848359,220.57
146.5,6.06,63.22,228.31,8.84,79.03747,7.69068,52.14561
88.88,6.25,300.0,312.54,-0.59,1.829857,5.783134,292.1236
59.23,7.17,226.34,281.36,-4.17,29.94487,5.843762,232.6464
107.81,5.97,123.18,38.63,-1.19,127.0377,6.37349,145.2337
242.72,5.99,38.9,332.51,-4.97,232.4647,5.890111,54.94818
300.0,5.98,122.0,265.29,-4.92,279.7833,5.91606,120.1357
275.96,5.99,48.25,324.0,-4.69,261.9741,5.855839,65.27337
151.22,6.94,118.29,328.87,0.32,128.9362,6.843581,149.0234
149.94,7.9,252.98,107.32,3.47,215.5242,5.930429,236.5584
89.82,6.98,289.53,99.72,15.47,212.6586,5.72564,250.3592
