x_pos,y_pos,z_pos,x_angle,y_angle,x_target,y_target,z_target
60.0,7.98,40.0,39.26,3.32,60.33901,7.855622,104.3348
39.35,7.99,109.46,92.93,9.96,110.3745,7.75194,160.5754
135.43,8.0,180.76,215.96,10.0,116.2648,7.758218,27.56343
222.94,7.98,245.7,267.1,7.71,91.02488,7.748056,273.8565
197.48,7.97,115.02,225.53,10.0,216.9811,7.743435,18.88717
155.42,7.97,76.91,317.43,10.0,12.96045,7.768239,159.0727
300.0,7.98,76.81,325.22,9.75,159.6072,7.767879,24.65539
142.25,8.0,185.41,50.66,1.35,199.1311,7.900843,207.0035
43.51,8.0,228.8,338.73,-0.95,29.85108,7.852914,259.4494
98.15,7.97,215.53,254.57,2.36,49.41779,7.937085,201.6718
108.88,7.98,97.14,16.87,5.41,104.9255,7.760129,196.8532
32.2,7.97,46.67,54.91,2.1,76.65481,7.851669,80.15359
24.07,8.0,145.0,146.51,-0.7,43.20362,7.902806,110.9933
128.43,7.97,173.3,51.09,-3.49,150.1983,7.889815,190.7731
243.37,7.97,202.81,289.03,-5.0,224.4227,7.923659,209.6472
209.25,7.98,235.48,40.2,-3.21,227.251,7.838192,263.7426
159.7,7.99,138.15,132.22,-5.0,174.7046,7.924078,123.1244
105.73,7.99,32.16,9.92,-5.0,110.1323,7.924182,53.33783
28.01,8.0,42.24,145.2,-5.0,42.14723,7.924291,22.64229
26.98,8.0,141.32,339.52,-5.0,25.90352,7.922484,163.1106
125.5,7.98,88.02,166.99,-5.0,130.9282,7.922585,66.7118
218.41,7.99,13.13,289.77,-2.45,189.079,7.834052,23.16801
211.68,7.99,0.0,86.76,-0.38,251.7922,7.844609,-0.02799871
183.29,7.97,1.19,313.36,-3.2,163.767,7.877523,21.78942
192.45,7.97,75.4,207.5,-5.0,183.0151,7.923013,56.98544
280.96,7.97,154.94,166.45,-2.45,284.7307,7.952577,125.2508
252.59,7.98,226.25,118.34,-2.45,278.4456,7.947005,206.2993
174.1,7.97,155.77,172.19,-5.0,176.8909,7.921614,135.0505
86.55,7.99,74.97,110.92,-5.0,107.3431,7.921648,68.18336
35.41,8.0,103.49,182.36,-5.0,36.98025,7.921775,85.62904
108.95,8.0,32.54,305.02,-3.98,90.99655,7.870232,44.83086
196.16,7.98,29.64,291.0,-0.66,161.3742,7.932292,37.60088
113.43,7.97,101.2,347.79,2.4,99.9213,7.906527,146.7381
2.55,8.0,166.7,120.26,5.7,105.9039,7.776033,146.5562
125.19,7.97,244.09,143.96,10.0,218.9436,7.768658,194.4665
210.85,7.97,300.0,224.06,9.24,100.8404,7.746765,191.1253
143.47,7.99,287.37,172.81,6.43,148.4161,7.785341,198.5094
193.86,7.97,213.91,186.68,3.62,194.167,7.78622,150.324
265.48,7.98,81.22,312.03,-1.47,240.398,7.939789,100.3187
153.75,7.99,138.43,117.97,1.84,217.4739,7.864723,119.7996
50.25,7.98,197.22,15.77,2.86,101.6655,7.897949,244.5852
125.14,8.0,169.07,338.19,-1.23,102.0609,7.950428,203.3954
219.84,7.99,115.27,90.33,-4.03,245.0731,7.830521,114.1697
290.9,7.98,37.46,302.08,-0.98,259.1839,7.870553,55.76126
254.08,8.0,0.0,353.19,2.34,229.9218,7.946458,53.63729
281.93,7.98,59.71,234.59,3.35,229.8834,7.864906,46.99458
189.53,7.97,129.29,112.41,6.4,271.0129,7.889237,56.13914
29.76,7.99,300.0,199.26,2.56,15.39822,7.875548,236.5401
