x,z
20,50
20,50
20,50
22,51
24,52
27,52
31,51
36,48
40,46
48,44
48,44
49,44
50,44
53,43
55,43
58,43
62,44
65,44
69,43
74,44
79,45
85,45
92,44
98,44
103,42
110,40
116,40
125,44
125,44
125,44
126,45
127,45
129,45
131,44
134,45
138,45
143,45
148,44
153,45
160,45
166,44
170,44
171,44
172,43
174,43
176,43
178,43
178,43
179,44
179,44
181,44
182,44
182,44
183,43
184,43
185,43
186,43
188,43
190,44
193,44
196,44
200,44
204,45
209,46
215,46
221,46
227,46
234,46
240,47
246,46
252,45
262,46
268,48
273,52
277,59
278,65
277,71
276,77
276,84
273,89
269,94
267,100
265,106
264,113
264,122
264,125
265,132
265,139
263,145
261,151
259,156
255,163
252,168
249,173
248,178
248,185
249,191
249,198
249,204
248,210
248,217
249,224
248,231
247,240
249,247
252,253
252,260
248,267
243,271
235,273
227,271
221,269
215,265
209,263
203,262
196,261
189,259
183,257
176,255
168,255
162,254
156,252
151,250
145,247
140,244
135,241
130,238
124,234
