x,z
20,50
20,50
20,50
20,50
20,50
21,51
22,51
22,52
24,52
25,52
27,52
28,51
30,51
32,50
33,50
36,49
38,49
41,49
43,49
46,49
48,49
51,49
54,49
57,49
61,49
64,49
66,49
69,49
73,49
76,49
79,49
83,49
85,49
92,49
92,49
92,49
93,49
93,49
94,49
95,49
96,48
97,48
99,48
101,48
102,48
105,48
109,47
111,47
115,47
119,47
123,48
126,48
128,48
132,47
135,48
138,49
143,49
146,49
147,49
150,47
152,46
154,45
158,44
162,43
164,43
167,43
171,44
174,46
177,46
179,47
183,48
185,48
188,48
194,48
194,48
194,48
195,47
195,47
197,46
197,46
198,46
198,46
198,46
198,46
200,45
200,45
200,45
200,45
201,45
201,45
202,45
203,45
205,45
207,45
207,45
208,45
208,45
209,45
210,45
211,45
212,45
214,45
214,45
215,45
216,45
217,45
217,45
218,45
218,45
218,45
218,45
218,45
218,45
218,45
218,45
218,45
218,46
218,47
218,47
219,48
220,48
220,49
221,49
222,49
222,49
223,49
224,49
224,49
225,49
226,49
227,49
228,49
228,49
229,49
230,49
230,48
231,48
232,48
233,48
234,48
234,48
235,48
236,49
237,49
237,48
