x_pos,y_pos,z_pos,x_angle,y_angle,bullet_x,bullet_y,bullet_z,body_x,body_y,body_z
86.93,8.0,161.78,0.0,0.0,86.87378,7.884597,204.3186,3.764975886610955e-09,-4.690672994911438e-06,-3.468454679023125e-07
282.52,7.98,52.04,24.52,-0.36,299.3593,7.919507,88.62135,2.1177590951992897e-06,-1.715551297820639e-05,-2.134434453182621e-06
270.09,8.0,143.68,0.0,0.0,270.0413,7.924709,186.2198,1.5762102520966437e-06,-3.5163136402616146e-08,7.035605449345894e-07
156.43,7.97,247.32,331.62,-2.65,142.7789,7.885452,272.9312,4.4502943637780845e-05,2.908165242843097e-06,1.3873830084776273e-06
155.04,8.0,168.35,0.0,0.0,154.9901,7.896816,210.8912,1.2591912081916234e-06,-8.986927241494413e-06,2.6680330833528387e-08
279.1,7.99,77.86,347.52,1.76,267.2765,7.868848,131.3956,2.346894007132505e-06,-4.564672508422518e-06,9.170965995508595e-07
174.71,8.0,96.87,0.0,0.0,174.3728,7.877993,139.4073,-5.114453642818262e-07,-7.20588013791712e-06,1.8834973047887615e-07
129.38,7.98,224.05,354.76,-2.33,126.5746,7.90941,254.1093,-1.9067322227783734e-06,-7.446371910191374e-06,1.4167644621920772e-06
124.84,8.0,190.63,0.0,0.0,125.404,7.835537,234.2822,-2.5554843432473717e-06,-3.376740949079249e-07,-3.4017540428976645e-07
257.59,7.99,51.83,3.1,2.23,260.7336,7.929379,109.9262,-3.3670460197754437e-06,-9.277111530536786e-06,-2.4203115955856447e-08
244.45,8.0,35.02,0.0,0.0,244.5291,7.921213,77.56099,-2.1886286116767906e-09,-2.564759824963403e-06,4.898534139909223e-17
32.77,7.98,168.59,358.37,-5.0,32.12709,7.927215,189.7592,-7.943131663523673e-08,-1.9689980035764165e-05,-7.790622902348332e-08
217.35,8.0,257.58,0.0,0.0,217.307,7.915073,300.1183,4.0437524262415536e-07,1.3048397704551462e-06,6.670107381978596e-07
86.26,7.98,39.5,14.61,0.5,97.50603,7.955309,82.83254,-1.6875368373803212e-06,-7.443837603204884e-06,2.828124934239895e-06
48.26,8.0,122.85,0.0,0.0,48.40933,7.916733,165.3865,6.67010358057496e-09,-1.2839950613852125e-06,8.004125362504055e-08
110.85,7.98,252.71,12.34,-2.77,116.8723,7.831608,281.1414,-4.138800250075292e-06,-1.9683480786625296e-05,9.604958677300601e-07
170.45,8.0,187.68,0.0,0.0,170.651,7.915058,230.225,2.334538784509732e-08,-2.5813317279244075e-06,-4.5356736677604204e-07
179.48,7.99,88.09,2.86,0.59,181.5347,7.860271,135.0666,5.469486836773285e-07,-4.690960395237198e-06,-3.768610099541547e-07
22.69,8.0,15.18,0.0,0.0,22.82005,7.893359,57.72365,3.96597556573397e-07,-1.6354326817236142e-06,9.093227504308743e-07
138.31,7.99,46.91,16.81,0.25,150.4098,7.861553,88.84962,-1.1092387467215303e-05,-2.596339072624687e-06,-1.3340188331767422e-07
53.92,8.0,218.58,0.0,0.0,53.76432,7.900557,261.1206,2.1620362531393766e-06,-5.775185854872689e-06,2.6680311293603154e-08
57.58,8.0,122.39,321.96,-1.33,36.34194,7.896264,149.7234,3.081255272263661e-05,-1.8115999409928918e-05,-1.5047760825837031e-05
18.79,8.0,209.91,0.0,0.0,18.70662,7.916224,252.4481,-8.581033057453169e-07,4.312494183977833e-07,1.0879895029347608e-07
79.31,7.99,12.83,356.34,0.72,76.27832,7.927126,59.74529,1.8048822312266566e-06,-3.2122891298058676e-06,-6.234197940102604e-07
193.14,8.0,258.36,0.0,0.0,192.6318,7.912957,300.8999,-1.713715846562991e-06,2.125228775184951e-06,2.3709417007466982e-07
64.05,7.98,12.45,357.87,0.61,62.57437,7.945292,58.32494,7.806230314599816e-06,2.3263901312020607e-06,8.581228030379862e-06
218.79,8.0,168.28,0.0,0.0,218.9662,7.897861,210.822,-5.120303740113741e-06,2.0867314276529214e-07,-2.3029576856625766e-10
238.31,7.98,91.9,19.13,-3.21,247.0635,7.897572,117.2346,-3.1682998269388918e-06,-2.134434851086553e-07,-4.268867542123189e-06
21.13,8.0,255.38,0.0,0.0,20.99074,7.920239,297.918,8.675095841681468e-07,1.9535448245733278e-06,-2.719013991736574e-07
173.9,7.97,100.31,352.23,2.44,165.7154,7.801096,160.1644,7.080882369336905e-06,-6.558738618878124e-07,-4.778667630489508e-07
235.77,8.0,120.54,0.0,0.0,235.8065,7.905608,163.0779,1.2777416031894973e-06,-4.275535957276588e-06,9.338139506098742e-08
14.79,7.99,64.73,346.67,-1.99,7.41131,7.852829,96.3113,-1.1711600791386445e-06,-5.454141501104459e-06,8.377650374313816e-06
280.5,8.0,181.41,0.0,0.0,280.6942,7.895109,223.9505,-1.7121329847213929e-06,-4.700966201198753e-06,6.670176855294585e-09
190.75,7.97,116.31,28.16,-2.93,204.1882,7.832903,140.7632,-2.3358716134680435e-05,-1.312677159148734e-05,-4.375587650429225e-06
238.82,8.0,52.86,0.0,0.0,238.8409,7.92085,95.40074,3.2933638749454985e-07,-4.481059477257077e-06,-1.0672167860548143e-07
231.99,7.99,70.95,12.29,0.94,242.3344,7.825314,119.0993,-5.101723672851222e-06,-3.472380058155977e-06,-1.357622494424504e-07
